PERMNO,date,PRC,RET
89997,20041004,55.26000,0.003268
89997,20041005,55.12000,-0.002533
89997,20041006,55.88850,0.013942
89997,20041007,55.24000,-0.011603
89997,20041008,54.82000,-0.007603
89997,20041011,54.82000,0.000000
89997,20041012,54.09000,-0.013316
89997,20041013,52.81000,-0.023664
89997,20041014,52.92000,0.002083
89997,20041015,53.33000,0.007748
89997,20041018,53.19000,-0.002625
89997,20041019,52.05000,-0.021433
89997,20041020,52.38000,0.006340
89997,20041021,52.99000,0.011646
89997,20041022,52.70000,-0.005473
89997,20041025,53.21000,0.009677
89997,20041026,53.50000,0.005450
89997,20041027,53.98000,0.008972
89997,20041028,53.37000,-0.011300
89997,20041029,53.96000,0.011055
89997,20041101,54.10000,0.002595
89997,20041102,53.96000,-0.002588
89997,20041103,54.85000,0.016494
89997,20041104,56.00000,0.020966
89997,20041105,56.25000,0.004464
89997,20041108,56.32000,0.001244
89997,20041109,56.71000,0.006925
89997,20041110,56.74000,0.000529
89997,20041111,57.31000,0.010046
89997,20041112,57.91000,0.010469
89997,20041115,57.52000,-0.006735
89997,20041116,57.15000,-0.006433
89997,20041117,57.66850,0.009073
89997,20041118,57.85000,0.003147
89997,20041119,57.53000,-0.005532
89997,20041122,58.18000,0.011298
89997,20041123,57.93000,-0.004297
89997,20041124,58.63000,0.012084
89997,20041126,59.37000,0.012621
89997,20041129,59.28000,-0.001516
89997,20041130,59.17000,-0.001856
89997,20041201,59.57000,0.006760
89997,20041202,58.73000,-0.014101
89997,20041203,58.75000,0.000341
89997,20041206,58.47000,-0.004766
89997,20041207,57.26000,-0.020694
89997,20041208,57.25500,-0.000087
89997,20041209,57.70000,0.007772
89997,20041210,58.01000,0.005373
89997,20041213,58.69000,0.011722
89997,20041214,58.75000,0.001022
89997,20041215,59.30000,0.009362
89997,20041216,58.85000,-0.007589
89997,20041217,58.83000,-0.000340
89997,20041220,58.97000,0.002380
89997,20041221,59.81000,0.014245
89997,20041222,58.74000,-0.001588
89997,20041223,59.04000,0.005107
89997,20041227,58.79000,-0.004234
89997,20041228,59.18000,0.006634
89997,20041229,59.22000,0.000676
89997,20041230,58.90000,-0.005404
89997,20041231,58.89000,-0.000170
89997,20050103,58.28000,-0.010358
89997,20050104,56.80000,-0.025395
89997,20050105,56.12000,-0.011972
89997,20050106,56.44000,0.005702
89997,20050107,56.59000,0.002658
89997,20050110,56.73000,0.002474
89997,20050111,56.35000,-0.006698
89997,20050112,56.10100,-0.004419
89997,20050113,56.32000,0.003904
89997,20050114,57.04000,0.012784
89997,20050118,57.12000,0.001402
89997,20050119,56.93000,-0.003326
89997,20050120,56.60000,-0.005797
89997,20050121,56.45000,-0.002650
89997,20050124,55.56900,-0.015607
89997,20050125,55.84000,0.004877
89997,20050126,56.10000,0.004656
89997,20050127,56.41000,0.005526
89997,20050128,56.17000,-0.004255
89997,20050131,57.00000,0.014777
89997,20050201,57.55000,0.009649
89997,20050202,58.12000,0.009904
89997,20050203,57.74000,-0.006538
89997,20050204,58.53000,0.013682
89997,20050207,58.54000,0.000171
89997,20050208,58.45000,-0.001537
89997,20050209,57.63000,-0.014029
89997,20050210,58.36850,0.012814
89997,20050211,59.00000,0.010819
89997,20050214,59.10000,0.001695
89997,20050215,59.32000,0.003723
89997,20050216,60.13000,0.013655
89997,20050217,60.00000,-0.002162
89997,20050218,60.55000,0.009167
89997,20050222,59.70000,-0.014038
89997,20050223,60.45000,0.012563
89997,20050224,61.29000,0.013896
89997,20050225,62.25000,0.015663
89997,20050228,61.80000,-0.007229
89997,20050301,61.73000,-0.001133
89997,20050302,61.68000,-0.000810
89997,20050303,61.72000,0.000649
89997,20050304,63.37000,0.026734
89997,20050307,62.91000,-0.007259
89997,20050308,62.63000,-0.004451
89997,20050309,62.60000,-0.000479
89997,20050310,61.70000,-0.014377
89997,20050311,62.16000,0.007455
89997,20050314,62.02000,-0.002252
89997,20050315,61.86000,-0.002580
89997,20050316,60.59000,-0.020530
89997,20050317,61.37000,0.012873
89997,20050318,61.40000,0.000489
89997,20050321,60.95000,-0.007329
89997,20050322,60.82000,-0.002133
89997,20050323,60.00000,-0.013482
89997,20050324,60.26000,0.004333
89997,20050328,59.81000,-0.007468
89997,20050329,58.20000,-0.026919
89997,20050330,58.79000,0.010137
89997,20050331,59.56000,0.013097
89997,20050401,59.57000,0.000168
89997,20050404,59.18000,-0.006547
89997,20050405,59.29000,0.001859
89997,20050406,59.63000,0.005735
89997,20050407,60.09000,0.007714
89997,20050408,59.25000,-0.013979
89997,20050411,59.00000,-0.004219
89997,20050412,59.15000,0.002542
89997,20050413,57.37000,-0.030093
89997,20050414,55.77000,-0.027889
89997,20050415,54.24000,-0.027434
89997,20050418,55.21000,0.017883
89997,20050419,56.25000,0.018837
89997,20050420,55.19000,-0.018844
89997,20050421,56.19000,0.018119
89997,20050422,55.41000,-0.013881
89997,20050425,56.24000,0.014979
89997,20050426,55.46000,-0.013869
89997,20050427,54.57000,-0.016048
89997,20050428,53.99000,-0.010629
89997,20050429,55.08000,0.020189
89997,20050502,55.32600,0.004466
89997,20050503,55.64000,0.005675
89997,20050504,56.59000,0.017074
89997,20050505,56.38000,-0.003711
89997,20050506,56.65000,0.004789
89997,20050509,56.61000,-0.000706
89997,20050510,55.62000,-0.017488
89997,20050511,55.73000,0.001978
89997,20050512,54.11000,-0.029069
89997,20050513,53.10000,-0.018666
89997,20050516,53.25000,0.002825
89997,20050517,54.06000,0.015211
89997,20050518,55.34000,0.023677
89997,20050519,55.23000,-0.001988
89997,20050520,54.81000,-0.007605
89997,20050523,55.42000,0.011129
89997,20050524,55.25000,-0.003067
89997,20050525,54.59000,-0.011946
89997,20050526,55.02000,0.007877
89997,20050527,55.25000,0.004180
89997,20050531,55.08000,-0.003077
89997,20050601,55.72000,0.011619
89997,20050602,55.51000,-0.003769
89997,20050603,55.50000,-0.000180
89997,20050606,55.34000,-0.002883
89997,20050607,55.52000,0.003253
89997,20050608,55.20000,-0.005764
89997,20050609,54.93000,-0.004891
89997,20050610,55.29000,0.006554
89997,20050613,55.83000,0.009767
89997,20050614,56.03000,0.003582
89997,20050615,56.48000,0.008031
89997,20050616,57.36000,0.015581
89997,20050617,57.26000,-0.001743
89997,20050620,56.72000,-0.009431
89997,20050621,56.23000,-0.008639
89997,20050622,56.34000,0.001956
89997,20050623,55.07200,-0.022506
89997,20050624,54.24000,-0.015107
89997,20050627,54.32000,0.001475
89997,20050628,55.14000,0.015096
89997,20050629,55.16000,0.000363
89997,20050630,54.46000,-0.012690
89997,20050701,54.26000,-0.003672
89997,20050705,54.55000,0.005345
89997,20050706,54.49000,-0.001100
89997,20050707,54.47000,-0.000367
89997,20050708,55.54000,0.019644
89997,20050711,56.51000,0.017465
89997,20050712,56.36000,-0.002654
89997,20050713,56.28000,-0.001419
89997,20050714,56.26000,-0.000355
89997,20050715,56.13000,-0.002311
89997,20050718,55.98000,-0.002672
89997,20050719,56.90000,0.016434
89997,20050720,57.90000,0.017575
89997,20050721,57.60000,-0.005181
89997,20050722,57.87800,0.004826
89997,20050725,57.59000,-0.004976
89997,20050726,56.96000,-0.010939
89997,20050727,57.38000,0.007374
89997,20050728,57.99000,0.010631
89997,20050729,57.80000,-0.003276
89997,20050801,57.62000,-0.003114
89997,20050802,58.44000,0.014231
89997,20050803,58.58000,0.002396
