PERMNO,date,PRC,RET
89992,20041004,49.39000,0.007548
89992,20041005,49.07000,-0.006479
89992,20041006,49.43000,0.007336
89992,20041007,49.21000,-0.004451
89992,20041008,48.69000,-0.010567
89992,20041011,-48.88500,0.004005
89992,20041012,48.75000,-0.002762
89992,20041013,48.65000,-0.002051
89992,20041014,48.26000,-0.008017
89992,20041015,48.44000,0.003730
89992,20041018,48.25000,-0.003922
89992,20041019,48.84000,0.012228
89992,20041020,48.29000,-0.011261
89992,20041021,48.72000,0.008905
89992,20041022,48.73000,0.000205
89992,20041025,48.16000,-0.011697
89992,20041026,48.43000,0.005606
89992,20041027,49.75000,0.027256
89992,20041028,50.16000,0.008241
89992,20041029,50.06000,-0.001994
89992,20041101,50.25000,0.003795
89992,20041102,50.84000,0.011741
89992,20041103,50.76000,-0.001574
89992,20041104,51.70150,0.018548
89992,20041105,52.08000,0.007321
89992,20041108,52.01000,-0.001344
89992,20041109,52.09000,0.001538
89992,20041110,52.12000,0.000576
89992,20041111,52.57000,0.008634
89992,20041112,53.03000,0.008750
89992,20041115,53.20000,0.003206
89992,20041116,52.86000,-0.006391
89992,20041117,52.95000,0.001703
89992,20041118,52.88000,-0.001322
89992,20041119,52.39000,-0.009266
89992,20041122,52.77000,0.007253
89992,20041123,52.98000,0.003980
89992,20041124,53.38000,0.007550
89992,20041126,53.52000,0.002623
89992,20041129,53.25000,-0.005045
89992,20041130,52.74000,-0.009577
89992,20041201,53.47000,0.013841
89992,20041202,53.55000,0.001496
89992,20041203,53.43000,-0.002241
89992,20041206,53.32000,-0.002059
89992,20041207,52.96000,-0.006752
89992,20041208,53.15000,0.003588
89992,20041209,53.42000,0.005080
89992,20041210,53.71000,0.005429
89992,20041213,53.73000,0.000372
89992,20041214,54.23000,0.009306
89992,20041215,54.52000,0.005348
89992,20041216,54.23000,-0.005319
89992,20041217,54.21000,-0.000369
89992,20041220,54.09000,-0.002214
89992,20041221,54.55000,0.008504
89992,20041222,54.39000,0.003483
89992,20041223,54.44000,0.000919
89992,20041227,54.52000,0.001470
89992,20041228,54.97000,0.008254
89992,20041229,55.15000,0.003275
89992,20041230,55.27000,0.002176
89992,20041231,55.16000,-0.001990
89992,20050103,54.66000,-0.009065
89992,20050104,54.03000,-0.011526
89992,20050105,53.72000,-0.005738
89992,20050106,53.69000,-0.000558
89992,20050107,53.39000,-0.005588
89992,20050110,53.69000,0.005619
89992,20050111,53.43000,-0.004843
89992,20050112,53.56800,0.002583
89992,20050113,53.43000,-0.002576
89992,20050114,53.87000,0.008235
89992,20050118,53.71000,-0.002970
89992,20050119,53.81000,0.001862
89992,20050120,53.29000,-0.009664
89992,20050121,52.81000,-0.009007
89992,20050124,52.27000,-0.010225
89992,20050125,52.53000,0.004974
89992,20050126,52.80000,0.005140
89992,20050127,52.67000,-0.002462
89992,20050128,52.44000,-0.004367
89992,20050131,53.02000,0.011060
89992,20050201,53.22000,0.003772
89992,20050202,53.43000,0.003946
89992,20050203,53.18000,-0.004679
89992,20050204,53.84000,0.012411
89992,20050207,53.91000,0.001300
89992,20050208,53.76000,-0.002782
89992,20050209,53.36000,-0.007440
89992,20050210,53.41000,0.000937
89992,20050211,53.84000,0.008051
89992,20050214,53.63000,-0.003900
89992,20050215,53.95000,0.005967
89992,20050216,53.94000,-0.000185
89992,20050217,53.63000,-0.005747
