PERMNO,date,PRC,RET
89993,20041004,51.56000,0.001943
89993,20041005,51.30000,-0.005043
89993,20041006,51.42000,0.002339
89993,20041007,51.36000,-0.001167
89993,20041008,50.70000,-0.012850
89993,20041011,50.76000,0.001183
89993,20041012,50.73000,-0.000591
89993,20041013,50.48000,-0.004928
89993,20041014,50.37000,-0.002179
89993,20041015,50.80000,0.008537
89993,20041018,50.80000,0.000000
89993,20041019,50.85000,0.000984
89993,20041020,50.55000,-0.005900
89993,20041021,50.60000,0.000989
89993,20041022,50.60000,0.000000
89993,20041025,50.11000,-0.009684
89993,20041026,50.33000,0.004390
89993,20041027,51.06000,0.014504
89993,20041028,51.43000,0.007246
89993,20041029,51.35000,-0.001556
89993,20041101,51.17000,-0.003505
89993,20041102,51.79000,0.012117
89993,20041103,52.03000,0.004634
89993,20041104,53.50000,0.028253
89993,20041105,53.66000,0.002991
89993,20041108,53.66000,0.000000
89993,20041109,53.66000,0.000000
89993,20041110,53.72000,0.001118
89993,20041111,54.15000,0.008004
89993,20041112,54.41000,0.004801
89993,20041115,54.36000,-0.000919
89993,20041116,54.11000,-0.004599
89993,20041117,54.28000,0.003142
89993,20041118,54.33000,0.000921
89993,20041119,53.76000,-0.010492
89993,20041122,54.01000,0.004650
89993,20041123,53.83000,-0.003333
89993,20041124,53.98000,0.002787
89993,20041126,54.09000,0.002038
89993,20041129,53.72000,-0.006840
89993,20041130,53.41000,-0.005771
89993,20041201,53.77000,0.006740
89993,20041202,54.38000,0.011345
89993,20041203,54.42000,0.000736
89993,20041206,54.06000,-0.006615
89993,20041207,53.96000,-0.001850
89993,20041208,53.95000,-0.000185
89993,20041209,54.56000,0.011307
89993,20041210,54.72000,0.002933
89993,20041213,54.79000,0.001279
89993,20041214,55.32000,0.009673
89993,20041215,55.33000,0.000181
89993,20041216,55.19000,-0.002530
89993,20041217,54.92000,-0.004892
89993,20041220,54.73000,-0.003460
89993,20041221,55.26000,0.009684
89993,20041222,54.42000,0.004596
89993,20041223,54.33000,-0.001654
89993,20041227,54.33000,0.000000
89993,20041228,54.52000,0.003497
89993,20041229,54.50000,-0.000367
89993,20041230,54.72000,0.004037
89993,20041231,54.57000,-0.002741
89993,20050103,54.19000,-0.006964
89993,20050104,53.90000,-0.005351
89993,20050105,53.90000,0.000000
89993,20050106,53.98000,0.001484
89993,20050107,54.36000,0.007040
89993,20050110,54.72000,0.006623
89993,20050111,54.53000,-0.003472
89993,20050112,54.57000,0.000734
89993,20050113,54.49000,-0.001466
89993,20050114,54.71000,0.004037
89993,20050118,55.29000,0.010601
89993,20050119,55.35000,0.001085
89993,20050120,54.99000,-0.006504
89993,20050121,54.71000,-0.005092
89993,20050124,54.47000,-0.004387
89993,20050125,54.63000,0.002937
89993,20050126,54.68000,0.000915
89993,20050127,54.97000,0.005304
89993,20050128,55.10000,0.002365
89993,20050131,55.20000,0.001815
89993,20050201,55.33000,0.002355
89993,20050202,55.76000,0.007771
89993,20050203,55.65000,-0.001973
89993,20050204,56.12000,0.008446
89993,20050207,56.10000,-0.000356
89993,20050208,56.05000,-0.000891
89993,20050209,55.50000,-0.009813
89993,20050210,55.73000,0.004144
89993,20050211,55.84000,0.001974
89993,20050214,55.95000,0.001970
89993,20050215,56.03000,0.001430
89993,20050216,56.06400,0.000607
89993,20050217,55.72000,-0.006136
89993,20050218,55.60000,-0.002154
89993,20050222,54.73000,-0.015647
89993,20050223,55.01000,0.005116
89993,20050224,55.27000,0.004726
89993,20050225,55.50000,0.004161
89993,20050228,55.50000,0.000000
89993,20050301,56.00000,0.009009
89993,20050302,55.95000,-0.000893
89993,20050303,56.03000,0.001430
89993,20050304,56.33000,0.005354
89993,20050307,56.14000,-0.003373
89993,20050308,55.93000,-0.003741
89993,20050309,55.50000,-0.007688
89993,20050310,55.54000,0.000721
89993,20050311,55.33000,-0.003781
89993,20050314,55.46000,0.002349
89993,20050315,55.25000,-0.003786
89993,20050316,54.83000,-0.007602
89993,20050317,55.03000,0.003648
89993,20050318,54.89000,-0.002544
89993,20050321,54.72000,-0.003097
89993,20050322,54.46000,-0.004752
89993,20050323,54.68000,0.004040
89993,20050324,54.65000,-0.000549
89993,20050328,54.92000,0.004940
89993,20050329,54.62000,-0.005462
89993,20050330,55.41000,0.014464
89993,20050331,55.20000,-0.003790
89993,20050401,54.76000,-0.007971
89993,20050404,54.99000,0.004200
89993,20050405,55.26000,0.004910
89993,20050406,55.11000,-0.002714
89993,20050407,55.46700,0.006478
89993,20050408,55.43000,-0.000667
89993,20050411,55.42000,-0.000180
89993,20050412,55.70000,0.005052
89993,20050413,55.43000,-0.004847
89993,20050414,55.35000,-0.001443
89993,20050415,54.78000,-0.010298
89993,20050418,54.53000,-0.004564
89993,20050419,54.70000,0.003118
89993,20050420,53.83000,-0.015905
89993,20050421,54.76000,0.017277
89993,20050422,54.16000,-0.010957
89993,20050425,54.75000,0.010894
89993,20050426,54.49000,-0.004749
89993,20050427,54.53000,0.000734
89993,20050428,54.26000,-0.004951
89993,20050429,54.53000,0.004976
89993,20050502,54.96000,0.007886
89993,20050503,55.10000,0.002547
89993,20050504,55.63000,0.009619
89993,20050505,55.54000,-0.001618
89993,20050506,55.30000,-0.004321
89993,20050509,55.55000,0.004521
89993,20050510,55.30000,-0.004500
89993,20050511,55.55000,0.004521
89993,20050512,55.33000,-0.003960
89993,20050513,54.85000,-0.008675
89993,20050516,55.44000,0.010757
89993,20050517,55.67000,0.004149
89993,20050518,56.30000,0.011317
89993,20050519,56.48000,0.003197
89993,20050520,56.63000,0.002656
89993,20050523,56.55000,-0.001413
89993,20050524,56.58000,0.000531
89993,20050525,56.36000,-0.003888
89993,20050526,56.43000,0.001242
89993,20050527,56.33000,-0.001772
89993,20050531,56.07000,-0.004616
89993,20050601,56.24000,0.003032
89993,20050602,56.67000,0.007646
89993,20050603,56.18000,-0.008647
89993,20050606,56.13000,-0.000890
89993,20050607,56.57000,0.007839
89993,20050608,56.25000,-0.005657
89993,20050609,56.34000,0.001600
89993,20050610,56.17000,-0.003017
89993,20050613,56.27000,0.001780
89993,20050614,56.34000,0.001244
89993,20050615,56.41000,0.001242
89993,20050616,56.41000,0.000000
89993,20050617,56.45000,0.000709
89993,20050620,56.50000,0.000886
89993,20050621,56.37000,-0.002301
89993,20050622,56.27000,-0.001774
89993,20050623,55.82000,-0.007997
89993,20050624,55.24000,-0.010391
89993,20050627,55.20000,-0.000724
89993,20050628,55.72000,0.009420
89993,20050629,55.45000,-0.004846
89993,20050630,55.15000,-0.005410
89993,20050701,55.36000,0.003808
89993,20050705,55.67000,0.005600
89993,20050706,55.25000,-0.007544
89993,20050707,55.26000,0.000181
89993,20050708,55.74000,0.008686
89993,20050711,56.12000,0.006817
89993,20050712,56.37000,0.004455
89993,20050713,56.41000,0.000710
89993,20050714,56.78000,0.006559
89993,20050715,56.69000,-0.001585
89993,20050718,56.60000,-0.001588
89993,20050719,56.43000,-0.003004
89993,20050720,56.53000,0.001772
89993,20050721,56.30000,-0.004069
89993,20050722,56.61000,0.005506
89993,20050725,56.35000,-0.004593
89993,20050726,56.61000,0.004614
89993,20050727,56.66000,0.000883
89993,20050728,57.13000,0.008295
89993,20050729,56.96000,-0.002976
89993,20050801,56.67000,-0.005091
89993,20050802,56.88000,0.003706
89993,20050803,56.91000,0.000527
89993,20050804,56.48000,-0.007556
89993,20050805,56.03000,-0.007967
89993,20050808,55.92000,-0.001963
89993,20050809,56.05000,0.002325
89993,20050810,55.95000,-0.001784
89993,20050811,55.98000,0.000536
89993,20050812,55.88000,-0.001786
89993,20050815,56.13000,0.004474
89993,20050816,55.65000,-0.008552
89993,20050817,55.60000,-0.000899
89993,20050818,56.09000,0.008813
89993,20050819,56.19000,0.001783
89993,20050822,56.26000,0.001246
89993,20050823,56.17000,-0.001600
89993,20050824,55.55000,-0.011038
89993,20050825,55.81000,0.004681
89993,20050826,55.60000,-0.003763
89993,20050829,56.02000,0.007554
89993,20050830,55.69000,-0.005891
89993,20050831,55.82000,0.002334
89993,20050901,56.04000,0.003941
89993,20050902,56.07000,0.000535
89993,20050906,56.51000,0.007847
89993,20050907,56.60000,0.001593
89993,20050908,56.35000,-0.004417
89993,20050909,56.62000,0.004791
89993,20050912,56.74000,0.002119
89993,20050913,56.15000,-0.010398
89993,20050914,55.85000,-0.005343
89993,20050915,56.12000,0.004834
89993,20050916,56.38000,0.004633
89993,20050919,56.02000,-0.006385
89993,20050920,55.67000,-0.006248
89993,20050921,54.82000,-0.015269
89993,20050922,54.92000,0.001824
89993,20050923,55.30000,0.006919
89993,20050926,55.26000,-0.000723
89993,20050927,55.70000,0.007962
89993,20050928,55.82000,0.002154
89993,20050929,56.25000,0.007703
89993,20050930,56.57000,0.005689
89993,20051003,56.60000,0.000530
89993,20051004,56.42000,-0.003180
89993,20051005,55.88000,-0.009571
89993,20051006,55.57000,-0.005548
89993,20051007,55.53000,-0.000720
89993,20051010,55.36000,-0.003061
89993,20051011,55.25000,-0.001987
89993,20051012,54.96000,-0.005249
89993,20051013,54.85000,-0.002001
89993,20051014,55.29000,0.008022
89993,20051017,55.71000,0.007596
89993,20051018,55.43000,-0.005026
89993,20051019,55.99000,0.010103
89993,20051020,55.47000,-0.009287
89993,20051021,55.40000,-0.001262
89993,20051024,55.91200,0.009242
89993,20051025,55.67000,-0.004328
89993,20051026,55.41000,-0.004670
89993,20051027,54.77000,-0.011550
89993,20051028,55.74000,0.017710
89993,20051031,56.09000,0.006279
89993,20051101,55.76000,-0.005883
89993,20051102,56.02000,0.004663
89993,20051103,56.06000,0.000714
89993,20051104,55.96000,-0.001784
89993,20051107,56.15000,0.003395
89993,20051108,56.03000,-0.002137
89993,20051109,56.20000,0.003034
89993,20051110,56.73000,0.009431
89993,20051111,56.75000,0.000353
89993,20051114,56.51000,-0.004229
89993,20051115,56.22000,-0.005132
89993,20051116,56.26000,0.000711
89993,20051117,56.38000,0.002133
89993,20051118,56.47000,0.001596
89993,20051121,56.70000,0.004073
89993,20051122,56.94000,0.004233
89993,20051123,57.09000,0.002634
89993,20051125,57.28000,0.003328
89993,20051128,56.98000,-0.005237
89993,20051129,56.95090,-0.000511
89993,20051130,56.50000,-0.007917
89993,20051201,57.02000,0.009204
89993,20051202,57.00000,-0.000351
89993,20051205,56.87000,-0.002281
89993,20051206,56.83000,-0.000703
89993,20051207,56.56000,-0.004751
89993,20051208,56.53000,-0.000530
89993,20051209,56.70300,0.003060
89993,20051212,56.77000,0.001182
89993,20051213,57.34000,0.010041
89993,20051214,57.80000,0.008022
89993,20051215,57.78000,-0.000346
89993,20051216,57.80000,0.000346
89993,20051219,57.61000,-0.003287
89993,20051220,57.21000,-0.006943
89993,20051221,57.55000,0.005943
89993,20051222,56.86000,0.000226
89993,20051223,56.76000,-0.001759
89993,20051227,56.35000,-0.007223
89993,20051228,56.53990,0.003370
89993,20051229,56.35000,-0.003359
89993,20051230,55.93000,-0.007453
89993,20060103,56.15000,0.003934
89993,20060104,56.48000,0.005877
89993,20060105,56.19000,-0.005135
89993,20060106,56.36000,0.003025
89993,20060109,56.69000,0.005855
89993,20060110,56.46000,-0.004057
89993,20060111,56.61000,0.002657
89993,20060112,56.42000,-0.003356
89993,20060113,56.39000,-0.000532
89993,20060117,56.12000,-0.004788
89993,20060118,56.31000,0.003386
89993,20060119,56.44000,0.002309
89993,20060120,55.78000,-0.011694
89993,20060123,55.91000,0.002331
89993,20060124,56.06000,0.002683
89993,20060125,56.00000,-0.001070
89993,20060126,56.22000,0.003929
89993,20060127,56.62000,0.007115
89993,20060130,56.45000,-0.003002
89993,20060131,56.20000,-0.004429
89993,20060201,56.42010,0.003916
89993,20060202,56.26000,-0.002838
89993,20060203,55.99000,-0.004799
89993,20060206,55.99000,0.000000
89993,20060207,55.60000,-0.006966
89993,20060208,55.97000,0.006655
89993,20060209,55.99000,0.000357
89993,20060210,56.02000,0.000536
89993,20060213,55.73000,-0.005177
89993,20060214,56.40000,0.012022
89993,20060215,56.76000,0.006383
89993,20060216,57.22000,0.008104
89993,20060217,57.05000,-0.002971
89993,20060221,56.93000,-0.002103
89993,20060222,57.26000,0.005797
89993,20060223,57.30000,0.000699
89993,20060224,57.18000,-0.002094
89993,20060227,57.46000,0.004897
89993,20060228,56.78000,-0.011834
89993,20060301,56.95000,0.002994
89993,20060302,56.93000,-0.000351
89993,20060303,56.94000,0.000176
89993,20060306,56.70000,-0.004215
89993,20060307,56.97000,0.004762
89993,20060308,57.52000,0.009654
89993,20060309,57.57000,0.000869
89993,20060310,58.03000,0.007990
89993,20060313,58.05010,0.000346
89993,20060314,58.17000,0.002065
89993,20060315,57.97000,-0.003438
89993,20060316,58.09000,0.002070
89993,20060317,58.14000,0.000861
89993,20060320,58.35000,0.003612
89993,20060321,58.08000,-0.004627
89993,20060322,58.37000,0.004993
89993,20060323,58.10000,-0.004626
89993,20060324,58.12000,0.000344
89993,20060327,57.95000,-0.002925
89993,20060328,57.51000,-0.007593
89993,20060329,57.96000,0.007825
89993,20060330,57.65000,-0.005348
89993,20060331,57.45000,-0.003469
89993,20060403,57.56000,0.001915
89993,20060404,57.63000,0.001216
89993,20060405,57.65000,0.000347
89993,20060406,57.49000,-0.002775
89993,20060407,56.98000,-0.008871
89993,20060410,56.95000,-0.000526
89993,20060411,56.44000,-0.008955
89993,20060412,56.70000,0.004607
89993,20060413,56.57000,-0.002293
89993,20060417,56.21000,-0.006364
89993,20060418,56.78000,0.010141
89993,20060419,56.94000,0.002818
89993,20060420,56.93000,-0.000176
89993,20060421,56.98000,0.000878
89993,20060424,57.20000,0.003861
89993,20060425,57.20000,0.000000
89993,20060426,57.72000,0.009091
89993,20060427,57.75000,0.000520
89993,20060428,57.86000,0.001905
89993,20060501,57.90000,0.000691
89993,20060502,58.26000,0.006218
89993,20060503,57.92000,-0.005836
89993,20060504,57.94000,0.000345
89993,20060505,58.55000,0.010528
89993,20060508,58.86000,0.005295
89993,20060509,58.95000,0.001529
89993,20060510,58.87000,-0.001357
89993,20060511,58.15000,-0.012230
89993,20060512,57.62000,-0.009114
89993,20060515,58.23000,0.010587
89993,20060516,58.37000,0.002404
89993,20060517,57.73000,-0.010965
89993,20060518,57.47000,-0.004504
89993,20060519,57.52000,0.000870
89993,20060522,57.67360,0.002670
89993,20060523,57.65000,-0.000409
89993,20060524,58.01000,0.006245
89993,20060525,58.62000,0.010515
89993,20060526,58.74000,0.002047
89993,20060530,57.85000,-0.015152
89993,20060531,58.12000,0.004667
89993,20060601,58.47000,0.006022
89993,20060602,58.39000,-0.001368
89993,20060605,57.50000,-0.015242
89993,20060606,57.56000,0.001044
89993,20060607,57.55000,-0.000174
89993,20060608,57.73000,0.003128
89993,20060609,57.72000,-0.000173
89993,20060612,57.32000,-0.006930
89993,20060613,56.98000,-0.005932
89993,20060614,57.18000,0.003510
89993,20060615,57.71000,0.009269
89993,20060616,57.78000,0.001213
89993,20060619,57.46000,-0.005538
89993,20060620,57.89000,0.007483
89993,20060621,58.16000,0.004664
89993,20060622,58.11000,-0.000860
89993,20060623,57.90000,-0.003614
89993,20060626,57.90000,0.000000
89993,20060627,57.86000,-0.000691
89993,20060628,58.08000,0.003802
89993,20060629,59.12000,0.017906
89993,20060630,58.91000,-0.003552
89993,20060703,59.18000,0.004583
89993,20060705,58.75000,-0.007266
89993,20060706,59.32000,0.009702
89993,20060707,59.21000,-0.001854
89993,20060710,59.60000,0.006587
89993,20060711,59.86010,0.004364
89993,20060712,59.51000,-0.005849
89993,20060713,58.89000,-0.010418
89993,20060714,58.36000,-0.009000
89993,20060717,58.42000,0.001028
89993,20060718,58.69000,0.004622
89993,20060719,59.42000,0.012438
89993,20060720,59.38000,-0.000673
89993,20060721,59.11000,-0.004547
89993,20060724,59.63000,0.008797
89993,20060725,59.98000,0.005870
89993,20060726,59.78000,-0.003334
89993,20060727,59.44000,-0.005688
89993,20060728,59.98000,0.009085
89993,20060731,59.75000,-0.003835
89993,20060801,59.39000,-0.006025
89993,20060802,59.91000,0.008756
89993,20060803,60.05000,0.002337
89993,20060804,60.06000,0.000167
89993,20060807,59.90000,-0.002664
89993,20060808,60.07000,0.002838
89993,20060809,59.74000,-0.005494
89993,20060810,60.31000,0.009541
89993,20060811,60.20000,-0.001824
89993,20060814,60.40000,0.003322
89993,20060815,60.78000,0.006291
89993,20060816,60.84000,0.000987
89993,20060817,60.82000,-0.000329
89993,20060818,61.09000,0.004439
89993,20060821,61.14000,0.000818
89993,20060822,61.12000,-0.000327
89993,20060823,61.03000,-0.001473
89993,20060824,61.22000,0.003113
89993,20060825,61.22000,0.000000
89993,20060828,61.58000,0.005880
89993,20060829,61.87000,0.004709
89993,20060830,61.99000,0.001940
89993,20060831,62.00000,0.000161
89993,20060901,62.30000,0.004839
89993,20060905,62.13000,-0.002729
89993,20060906,61.96000,-0.002736
89993,20060907,61.72000,-0.003873
89993,20060908,62.06000,0.005509
89993,20060911,62.40000,0.005479
89993,20060912,62.53000,0.002083
89993,20060913,62.30000,-0.003678
89993,20060914,62.46000,0.002568
89993,20060915,62.62000,0.002562
89993,20060918,62.42000,-0.003194
89993,20060919,62.49000,0.001121
89993,20060920,62.90000,0.006561
89993,20060921,62.36000,-0.008585
89993,20060922,62.31000,-0.000802
89993,20060925,62.04000,-0.004333
89993,20060926,62.23000,0.003063
89993,20060927,62.54000,0.004982
89993,20060928,62.39000,-0.002398
89993,20060929,62.12000,-0.004328
89993,20061002,61.76000,-0.005795
89993,20061003,61.79000,0.000486
89993,20061004,62.47000,0.011005
89993,20061005,62.41000,-0.000960
89993,20061006,62.10000,-0.004967
89993,20061009,62.18010,0.001290
89993,20061010,61.99000,-0.003057
89993,20061011,62.09000,0.001613
89993,20061012,62.34000,0.004026
89993,20061013,62.17000,-0.002727
89993,20061016,62.32000,0.002413
89993,20061017,62.13000,-0.003049
89993,20061018,62.50000,0.005955
89993,20061019,62.50040,0.000006
89993,20061020,62.77000,0.004314
89993,20061023,63.21000,0.007010
89993,20061024,63.10000,-0.001740
89993,20061025,63.48000,0.006022
89993,20061026,63.76000,0.004411
89993,20061027,63.50000,-0.004078
89993,20061030,63.37000,-0.002047
89993,20061031,63.36000,-0.000158
89993,20061101,62.85000,-0.008049
89993,20061102,62.71000,-0.002228
89993,20061103,62.41000,-0.004784
89993,20061106,62.67000,0.004166
89993,20061107,62.76000,0.001436
89993,20061108,63.02000,0.004143
89993,20061109,62.72000,-0.004760
89993,20061110,62.76000,0.000638
89993,20061113,62.60000,-0.002549
89993,20061114,62.99000,0.006230
