PERMNO,date,PRC,RET
90347,20041004,51.12000,0.000979
90347,20041005,51.59000,0.009194
90347,20041006,52.58000,0.019190
90347,20041007,52.09000,-0.009319
90347,20041008,52.22000,0.002496
90347,20041011,51.70000,-0.009958
90347,20041012,51.20000,-0.009671
90347,20041013,49.93000,-0.024805
90347,20041014,50.40000,0.009413
90347,20041015,50.47000,0.001389
90347,20041018,49.98000,-0.009709
90347,20041019,49.74000,-0.004802
90347,20041020,50.72000,0.019702
90347,20041021,51.23000,0.010055
90347,20041022,51.23000,0.000000
90347,20041025,51.00000,-0.004490
90347,20041026,51.58000,0.011373
90347,20041027,50.64000,-0.018224
90347,20041028,49.74000,-0.017772
90347,20041029,50.35000,0.012264
90347,20041101,50.12000,-0.004568
90347,20041102,49.33000,-0.015762
90347,20041103,50.45000,0.022704
90347,20041104,51.21000,0.015064
90347,20041105,51.39000,0.003515
90347,20041108,50.49000,-0.017513
90347,20041109,50.25000,-0.004753
90347,20041110,50.85000,0.011940
90347,20041111,50.84000,-0.000197
90347,20041112,51.80000,0.018883
90347,20041115,50.60000,-0.023166
90347,20041116,50.75000,0.002964
90347,20041117,51.30000,0.010837
90347,20041118,51.75000,0.008772
90347,20041119,52.30000,0.010628
90347,20041122,53.09000,0.015105
90347,20041123,53.46000,0.006969
90347,20041124,53.99000,0.009914
90347,20041126,54.40000,0.007594
90347,20041129,54.01000,-0.007169
90347,20041130,54.14000,0.002407
90347,20041201,52.90000,-0.022904
90347,20041202,51.46000,-0.027221
90347,20041203,51.93000,0.009133
90347,20041206,51.71000,-0.004236
90347,20041207,50.89000,-0.015858
90347,20041208,51.01000,0.002358
90347,20041209,51.47000,0.009018
90347,20041210,51.24000,-0.004469
90347,20041213,51.86000,0.012100
90347,20041214,52.16000,0.005785
90347,20041215,52.76000,0.011503
90347,20041216,52.26000,-0.009477
90347,20041217,52.35000,0.001722
90347,20041220,52.80000,0.008596
90347,20041221,53.31000,0.009659
90347,20041222,52.39000,-0.013206
90347,20041223,52.90000,0.009735
90347,20041227,51.89000,-0.019093
90347,20041228,52.19000,0.005781
90347,20041229,52.52000,0.006323
90347,20041230,52.41000,-0.002094
90347,20041231,52.41000,0.000000
90347,20050103,50.55000,-0.035489
90347,20050104,50.20000,-0.006924
90347,20050105,50.05000,-0.002988
90347,20050106,50.83000,0.015584
90347,20050107,50.38000,-0.008853
90347,20050110,50.79000,0.008138
90347,20050111,50.87000,0.001575
90347,20050112,51.67000,0.015726
90347,20050113,52.05000,0.007354
90347,20050114,52.36000,0.005956
90347,20050118,52.77000,0.007830
90347,20050119,52.87000,0.001895
90347,20050120,52.48000,-0.007377
90347,20050121,52.68000,0.003811
90347,20050124,52.90000,0.004176
90347,20050125,53.15000,0.004726
90347,20050126,53.63000,0.009031
90347,20050127,54.15000,0.009696
