PERMNO,date,PRC,RET
90348,20041004,50.53000,0.003475
90348,20041005,50.30000,-0.004552
90348,20041006,50.57000,0.005368
90348,20041007,50.33000,-0.004746
90348,20041008,49.58000,-0.014902
90348,20041011,49.68000,0.002017
90348,20041012,49.62000,-0.001208
90348,20041013,49.22000,-0.008061
90348,20041014,49.00000,-0.004470
90348,20041015,49.35000,0.007143
90348,20041018,49.22000,-0.002634
90348,20041019,49.06000,-0.003251
90348,20041020,48.86000,-0.004077
90348,20041021,49.18000,0.006549
90348,20041022,48.79000,-0.007930
90348,20041025,48.86000,0.001435
90348,20041026,49.25000,0.007982
90348,20041027,49.97000,0.014619
90348,20041028,50.07000,0.002001
90348,20041029,50.13000,0.001198
90348,20041101,50.39000,0.005186
90348,20041102,50.32000,-0.001389
90348,20041103,50.94000,0.012321
90348,20041104,51.85000,0.017864
90348,20041105,-52.28500,0.008390
90348,20041108,52.37000,0.001626
90348,20041109,52.60000,0.004392
90348,20041110,52.66000,0.001141
90348,20041111,53.30000,0.012153
90348,20041112,53.34000,0.000750
90348,20041115,53.44000,0.001875
90348,20041116,53.23000,-0.003930
90348,20041117,53.40000,0.003194
90348,20041118,53.81000,0.007678
90348,20041119,53.12000,-0.012823
90348,20041122,53.24000,0.002259
90348,20041123,53.27000,0.000563
90348,20041124,53.66000,0.007321
90348,20041126,53.67000,0.000186
90348,20041129,53.65000,-0.000373
90348,20041130,53.59000,-0.001118
90348,20041201,54.14000,0.010263
90348,20041202,-54.39000,0.004618
90348,20041203,54.25000,-0.002574
90348,20041206,54.05000,-0.003687
90348,20041207,53.50000,-0.010176
90348,20041208,53.82000,0.005981
90348,20041209,53.92000,0.001858
90348,20041210,54.19000,0.005007
90348,20041213,54.48000,0.005352
90348,20041214,54.95000,0.008627
90348,20041215,55.05000,0.001820
90348,20041216,54.69000,-0.006540
90348,20041217,54.68000,-0.000183
90348,20041220,54.69000,0.000183
90348,20041221,55.06000,0.006765
90348,20041222,55.04000,0.005449
90348,20041223,55.18000,0.002544
90348,20041227,-54.75500,-0.007702
90348,20041228,55.15000,0.007214
90348,20041229,54.99000,-0.002901
90348,20041230,55.05000,0.001091
90348,20041231,54.90000,-0.002725
90348,20050103,54.48000,-0.007650
90348,20050104,54.09000,-0.007159
90348,20050105,53.29000,-0.014790
90348,20050106,53.40000,0.002064
90348,20050107,53.21000,-0.003558
90348,20050110,53.19000,-0.000376
90348,20050111,53.14000,-0.000940
90348,20050112,52.96000,-0.003387
90348,20050113,52.70000,-0.004909
90348,20050114,53.07000,0.007021
90348,20050118,53.37000,0.005653
90348,20050119,52.94000,-0.008057
90348,20050120,52.45000,-0.009256
90348,20050121,52.17000,-0.005338
90348,20050124,51.94000,-0.004409
90348,20050125,52.38000,0.008471
90348,20050126,52.67000,0.005536
90348,20050127,52.75000,0.001519
90348,20050128,52.68000,-0.001327
90348,20050131,53.23000,0.010440
90348,20050201,53.59000,0.006763
90348,20050202,53.68000,0.001679
90348,20050203,53.42000,-0.004844
90348,20050204,53.76150,0.006393
90348,20050207,54.07000,0.005738
90348,20050208,-54.28000,0.003884
90348,20050209,53.65000,-0.011606
90348,20050210,53.91000,0.004846
90348,20050211,54.30000,0.007234
90348,20050214,54.14000,-0.002947
90348,20050215,54.27000,0.002401
90348,20050216,54.31000,0.000737
90348,20050217,54.15000,-0.002946
90348,20050218,53.82000,-0.006094
90348,20050222,53.00000,-0.015236
90348,20050223,53.22000,0.004151
90348,20050224,53.19000,-0.000564
90348,20050225,54.04000,0.015980
90348,20050228,-54.00000,-0.000740
90348,20050301,54.27000,0.005000
90348,20050302,54.46000,0.003501
90348,20050303,54.63000,0.003122
90348,20050304,55.32000,0.012630
90348,20050307,55.62000,0.005423
90348,20050308,55.51000,-0.001978
90348,20050309,55.20000,-0.005585
90348,20050310,55.03000,-0.003080
90348,20050311,54.90000,-0.002362
90348,20050314,54.96000,0.001093
90348,20050315,54.98000,0.000364
90348,20050316,54.35000,-0.011459
90348,20050317,54.37000,0.000368
90348,20050318,54.37000,0.000000
90348,20050321,54.45000,0.001471
90348,20050322,54.48000,0.000551
90348,20050323,53.93900,-0.009930
90348,20050324,54.20000,0.004839
90348,20050328,54.27000,0.001292
90348,20050329,53.38000,-0.016399
90348,20050330,53.95000,0.010678
90348,20050331,53.98000,0.000556
90348,20050401,53.50000,-0.008892
90348,20050404,53.58000,0.001495
90348,20050405,53.80000,0.004106
90348,20050406,53.89000,0.001673
90348,20050407,54.16000,0.005010
90348,20050408,53.81000,-0.006462
90348,20050411,53.73000,-0.001487
90348,20050412,53.58000,-0.002792
90348,20050413,53.22000,-0.006719
90348,20050414,52.56000,-0.012401
90348,20050415,51.82000,-0.014079
90348,20050418,51.71000,-0.002123
90348,20050419,51.90000,0.003674
90348,20050420,51.54000,-0.006936
90348,20050421,52.25000,0.013776
90348,20050422,51.85000,-0.007656
90348,20050425,52.38000,0.010222
90348,20050426,52.17000,-0.004009
90348,20050427,52.09000,-0.001533
90348,20050428,51.43000,-0.012670
90348,20050429,51.85000,0.008166
90348,20050502,52.24000,0.007522
90348,20050503,52.11000,-0.002489
90348,20050504,52.35000,0.004606
90348,20050505,52.40000,0.000955
90348,20050506,52.63000,0.004389
90348,20050509,52.85000,0.004180
90348,20050510,52.31000,-0.010218
90348,20050511,52.75000,0.008411
90348,20050512,52.11000,-0.012133
90348,20050513,52.14000,0.000576
90348,20050516,52.31000,0.003260
90348,20050517,52.17000,-0.002676
90348,20050518,53.74000,0.030094
90348,20050519,53.82000,0.001489
90348,20050520,53.66000,-0.002973
90348,20050523,54.22000,0.010436
90348,20050524,54.02000,-0.003689
90348,20050525,53.49000,-0.009811
90348,20050526,53.83000,0.006356
90348,20050527,53.96000,0.002415
90348,20050531,53.77000,-0.003521
90348,20050601,53.96000,0.003534
90348,20050602,54.08000,0.002224
90348,20050603,53.78000,-0.005547
90348,20050606,53.79000,0.000186
90348,20050607,54.26000,0.008738
90348,20050608,54.01000,-0.004607
90348,20050609,53.73000,-0.005184
90348,20050610,53.52000,-0.003908
90348,20050613,53.82000,0.005605
90348,20050614,53.83000,0.000186
90348,20050615,53.69000,-0.002601
90348,20050616,54.05000,0.006705
90348,20050617,54.52000,0.008696
90348,20050620,54.17000,-0.006420
90348,20050621,54.08000,-0.001661
90348,20050622,53.99000,-0.001664
90348,20050623,53.15000,-0.015558
90348,20050624,52.36000,-0.014864
90348,20050627,52.43000,0.001337
90348,20050628,53.14000,0.013542
90348,20050629,53.21000,0.001317
90348,20050630,52.89000,-0.006014
90348,20050701,52.86000,-0.000567
90348,20050705,53.25000,0.007378
90348,20050706,52.89000,-0.006761
90348,20050707,52.56000,-0.006239
90348,20050708,53.64000,0.020548
90348,20050711,53.94000,0.005593
90348,20050712,53.90000,-0.000742
90348,20050713,53.94000,0.000742
90348,20050714,54.20000,0.004820
90348,20050715,54.26000,0.001107
90348,20050718,54.07000,-0.003502
90348,20050719,54.59000,0.009617
90348,20050720,55.20000,0.011174
90348,20050721,54.95000,-0.004529
90348,20050722,55.16000,0.003822
90348,20050725,54.76000,-0.007252
90348,20050726,54.96000,0.003652
90348,20050727,55.05000,0.001638
90348,20050728,55.49000,0.007993
90348,20050729,55.26000,-0.004145
90348,20050801,55.41000,0.002714
90348,20050802,55.24000,-0.003068
90348,20050803,55.05000,-0.003440
90348,20050804,54.70000,-0.006358
90348,20050805,54.36000,-0.006216
90348,20050808,54.17000,-0.003495
90348,20050809,54.57000,0.007384
90348,20050810,54.74000,0.003115
90348,20050811,54.69000,-0.000913
90348,20050812,54.83000,0.002560
90348,20050815,54.92000,0.001641
90348,20050816,54.25000,-0.012200
90348,20050817,54.51000,0.004793
90348,20050818,54.19000,-0.005870
90348,20050819,54.35000,0.002953
90348,20050822,54.34000,-0.000184
90348,20050823,54.26000,-0.001472
90348,20050824,53.81000,-0.008293
90348,20050825,53.88000,0.001301
90348,20050826,53.63000,-0.004640
90348,20050829,53.97000,0.006340
90348,20050830,53.25000,-0.013341
90348,20050831,53.75000,0.009390
90348,20050901,54.21000,0.008558
90348,20050902,54.19000,-0.000369
90348,20050906,54.86000,0.012364
90348,20050907,54.95000,0.001641
90348,20050908,54.73000,-0.004004
90348,20050909,55.00000,0.004933
90348,20050912,55.41000,0.007455
90348,20050913,55.09000,-0.005775
90348,20050914,54.65000,-0.007987
90348,20050915,54.56000,-0.001647
90348,20050916,54.94000,0.006965
90348,20050919,54.26000,-0.012377
90348,20050920,54.04000,-0.004055
90348,20050921,53.63000,-0.007587
90348,20050922,53.98000,0.006526
90348,20050923,54.31000,0.006113
90348,20050926,54.07000,-0.004419
90348,20050927,54.47000,0.007398
90348,20050928,54.48000,0.000184
90348,20050929,54.76000,0.005139
90348,20050930,55.03000,0.004931
90348,20051003,54.93000,-0.001817
90348,20051004,54.51000,-0.007646
90348,20051005,53.61000,-0.016511
90348,20051006,53.67000,0.001119
90348,20051007,54.33000,0.012297
90348,20051010,54.00000,-0.006074
90348,20051011,53.71000,-0.005370
90348,20051012,53.46000,-0.004655
90348,20051013,53.51000,0.000935
90348,20051014,54.03000,0.009718
90348,20051017,53.98000,-0.000925
90348,20051018,53.72000,-0.004817
90348,20051019,54.28000,0.010424
90348,20051020,53.71000,-0.010501
90348,20051021,53.42990,-0.005215
90348,20051024,54.27000,0.015723
90348,20051025,54.13000,-0.002580
90348,20051026,53.79000,-0.006281
90348,20051027,53.05000,-0.013757
90348,20051028,53.97000,0.017342
90348,20051031,54.49900,0.009802
90348,20051101,54.25000,-0.004569
90348,20051102,54.90000,0.011982
90348,20051103,55.13000,0.004189
90348,20051104,55.02000,-0.001995
90348,20051107,55.34990,0.005996
90348,20051108,55.05000,-0.005418
90348,20051109,55.23000,0.003270
90348,20051110,55.73000,0.009053
90348,20051111,56.01000,0.005024
90348,20051114,56.00000,-0.000179
90348,20051115,55.82000,-0.003214
90348,20051116,56.01900,0.003565
90348,20051117,56.67000,0.011621
90348,20051118,57.15010,0.008472
90348,20051121,57.63100,0.008415
90348,20051122,57.87000,0.004147
90348,20051123,57.80000,-0.001210
90348,20051125,57.92000,0.002076
90348,20051128,57.51000,-0.007079
90348,20051129,57.65000,0.002434
90348,20051130,57.59000,-0.001041
90348,20051201,58.21010,0.010767
90348,20051202,58.05000,-0.002750
90348,20051205,57.80000,-0.004307
90348,20051206,57.86010,0.001040
90348,20051207,57.50000,-0.006224
90348,20051208,57.26000,-0.004174
90348,20051209,57.71000,0.007859
90348,20051212,57.73000,0.000347
90348,20051213,57.78000,0.000866
90348,20051214,58.22000,0.007615
90348,20051215,58.14000,-0.001374
90348,20051216,58.28000,0.002408
90348,20051219,57.57000,-0.012183
90348,20051220,57.62000,0.000868
90348,20051221,57.97000,0.006074
90348,20051222,58.03000,0.008832
90348,20051223,58.16000,0.002240
90348,20051227,57.59000,-0.009801
90348,20051228,57.74000,0.002605
90348,20051229,57.76200,0.000381
90348,20051230,57.46000,-0.005228
90348,20060103,57.52000,0.001044
90348,20060104,58.13000,0.010605
90348,20060105,57.98000,-0.002580
90348,20060106,58.45000,0.008106
90348,20060109,58.75000,0.005133
90348,20060110,58.76000,0.000170
90348,20060111,58.75000,-0.000170
90348,20060112,58.38000,-0.006298
90348,20060113,58.19000,-0.003255
90348,20060117,57.77000,-0.007218
90348,20060118,57.86000,0.001558
90348,20060119,58.30000,0.007605
90348,20060120,57.04000,-0.021612
90348,20060123,57.19000,0.002630
90348,20060124,57.72000,0.009267
90348,20060125,57.51000,-0.003638
90348,20060126,58.22000,0.012346
90348,20060127,58.44000,0.003779
90348,20060130,58.55000,0.001882
90348,20060131,58.57000,0.000342
90348,20060201,58.92000,0.005976
90348,20060202,58.44000,-0.008147
90348,20060203,58.35000,-0.001540
90348,20060206,58.56000,0.003599
90348,20060207,58.03000,-0.009051
90348,20060208,58.48000,0.007755
90348,20060209,58.70010,0.003764
90348,20060210,59.07000,0.006302
90348,20060213,58.86000,-0.003555
90348,20060214,59.61000,0.012742
90348,20060215,59.89000,0.004697
90348,20060216,59.90000,0.000167
90348,20060217,60.24000,0.005676
90348,20060221,60.07000,-0.002822
90348,20060222,60.55000,0.007991
90348,20060223,60.55000,0.000000
90348,20060224,60.69000,0.002312
90348,20060227,61.04000,0.005767
90348,20060228,60.30000,-0.012123
90348,20060301,60.79000,0.008126
90348,20060302,60.67000,-0.001974
90348,20060303,60.89000,0.003626
90348,20060306,60.41000,-0.007883
90348,20060307,60.27000,-0.002317
90348,20060308,60.22000,-0.000830
90348,20060309,60.14000,-0.001328
90348,20060310,60.62000,0.007981
90348,20060313,60.67000,0.000825
90348,20060314,61.36000,0.011373
90348,20060315,62.22000,0.014016
90348,20060316,62.39000,0.002732
90348,20060317,62.66990,0.004486
90348,20060320,62.73000,0.000959
90348,20060321,62.30000,-0.006855
90348,20060322,62.96000,0.010594
90348,20060323,62.59000,-0.005877
90348,20060324,62.67000,0.001278
90348,20060327,62.63000,-0.000638
90348,20060328,62.27000,-0.005748
90348,20060329,62.89000,0.009957
90348,20060330,62.98000,0.001431
90348,20060331,63.07000,0.001429
90348,20060403,63.33000,0.004122
90348,20060404,63.61000,0.004421
90348,20060405,63.75000,0.002201
90348,20060406,63.72000,-0.000471
90348,20060407,63.16000,-0.008788
90348,20060410,63.07000,-0.001425
90348,20060411,62.71000,-0.005708
90348,20060412,63.26000,0.008771
90348,20060413,62.90000,-0.005691
90348,20060417,62.71000,-0.003021
90348,20060418,64.15800,0.023090
90348,20060419,64.71000,0.008604
90348,20060420,64.93000,0.003400
90348,20060421,64.94000,0.000154
90348,20060424,64.98000,0.000616
90348,20060425,64.45000,-0.008156
90348,20060426,64.70000,0.003879
90348,20060427,64.43000,-0.004173
90348,20060428,64.36000,-0.001086
90348,20060501,64.43000,0.001088
90348,20060502,64.91000,0.007450
90348,20060503,65.01000,0.001541
90348,20060504,65.81000,0.012306
90348,20060505,66.53000,0.010941
90348,20060508,66.46000,-0.001052
90348,20060509,66.60000,0.002107
90348,20060510,66.53000,-0.001051
90348,20060511,65.84000,-0.010371
90348,20060512,64.74000,-0.016707
90348,20060515,64.76000,0.000309
90348,20060516,64.72000,-0.000618
90348,20060517,63.36000,-0.021014
90348,20060518,62.79000,-0.008996
90348,20060519,62.85000,0.000956
90348,20060522,62.70000,-0.002387
90348,20060523,62.47000,-0.003668
90348,20060524,62.30000,-0.002721
90348,20060525,62.85000,0.008828
90348,20060526,63.17000,0.005091
90348,20060530,62.25000,-0.014564
90348,20060531,62.79000,0.008675
90348,20060601,63.59000,0.012741
90348,20060602,63.62000,0.000472
90348,20060605,62.14000,-0.023263
90348,20060606,61.76000,-0.006115
90348,20060607,61.37000,-0.006315
90348,20060608,61.19000,-0.002933
90348,20060609,60.85000,-0.005556
90348,20060612,59.78000,-0.017584
90348,20060613,59.40000,-0.006357
90348,20060614,59.71000,0.005219
90348,20060615,61.48000,0.029643
90348,20060616,61.34000,-0.002277
90348,20060619,60.64000,-0.011412
90348,20060620,60.68000,0.000660
90348,20060621,61.41000,0.012030
90348,20060622,61.25000,-0.002605
90348,20060623,61.40000,0.002449
90348,20060626,61.47000,0.001140
90348,20060627,60.89000,-0.009436
90348,20060628,60.99000,0.001642
90348,20060629,62.54000,0.025414
90348,20060630,62.60000,0.000959
90348,20060703,62.95000,0.005591
90348,20060705,62.48000,-0.007466
90348,20060706,62.59000,0.001761
90348,20060707,61.68000,-0.014539
90348,20060710,61.75000,0.001135
