PERMNO,date,PRC,RET
90350,20041004,51.40000,0.004299
90350,20041005,51.39000,-0.000195
90350,20041006,51.63000,0.004670
90350,20041007,51.10000,-0.010265
90350,20041008,51.35000,0.004892
90350,20041011,51.15000,-0.003895
90350,20041012,51.32000,0.003324
90350,20041013,51.45000,0.002533
90350,20041014,51.85000,0.007774
90350,20041015,52.38000,0.010222
90350,20041018,52.66000,0.005346
90350,20041019,52.38000,-0.005317
90350,20041020,52.13000,-0.004773
90350,20041021,52.66000,0.010167
90350,20041022,52.24000,-0.007976
90350,20041025,51.99000,-0.004786
90350,20041026,52.48000,0.009425
90350,20041027,53.10000,0.011814
90350,20041028,53.13000,0.000565
90350,20041029,53.10000,-0.000565
90350,20041101,53.62000,0.009793
90350,20041102,53.10000,-0.009698
90350,20041103,53.64000,0.010170
90350,20041104,54.45000,0.015101
90350,20041105,52.98000,-0.026997
90350,20041108,53.12000,0.002642
90350,20041109,53.32000,0.003765
90350,20041110,53.70000,0.007127
90350,20041111,54.13850,0.008166
90350,20041112,55.20000,0.019607
90350,20041115,55.90000,0.012681
90350,20041116,55.56000,-0.006082
90350,20041117,54.27000,-0.023218
90350,20041118,54.18000,-0.001658
90350,20041119,53.62000,-0.010336
90350,20041122,53.99000,0.006900
90350,20041123,54.22000,0.004260
90350,20041124,55.16000,0.017337
90350,20041126,55.10000,-0.001088
90350,20041129,54.90000,-0.003630
90350,20041130,55.20000,0.005464
90350,20041201,56.27000,0.019384
90350,20041202,55.79000,-0.008530
90350,20041203,56.54000,0.013443
90350,20041206,56.81000,0.004775
90350,20041207,56.09000,-0.012674
90350,20041208,56.24000,0.002674
90350,20041209,56.65000,0.007290
90350,20041210,57.13000,0.008473
90350,20041213,56.97000,-0.002801
90350,20041214,56.92000,-0.000878
90350,20041215,57.03000,0.001933
90350,20041216,56.51000,-0.009118
90350,20041217,57.15000,0.011325
90350,20041220,56.95000,-0.003500
90350,20041221,57.60000,0.011413
90350,20041222,56.75000,0.007292
90350,20041223,56.32000,-0.007577
90350,20041227,55.90000,-0.007457
90350,20041228,56.11000,0.003757
90350,20041229,56.43000,0.005703
90350,20041230,56.70000,0.004785
90350,20041231,56.55000,-0.002646
90350,20050103,55.89000,-0.011671
90350,20050104,55.05000,-0.015030
90350,20050105,53.22000,-0.033242
90350,20050106,53.63000,0.007704
90350,20050107,53.51000,-0.002238
90350,20050110,53.34000,-0.003177
90350,20050111,52.80000,-0.010124
90350,20050112,52.55000,-0.004735
90350,20050113,52.55000,0.000000
90350,20050114,53.20000,0.012369
90350,20050118,53.72000,0.009774
90350,20050119,53.77000,0.000931
90350,20050120,53.60000,-0.003162
90350,20050121,53.65000,0.000933
90350,20050124,53.22000,-0.008015
90350,20050125,52.22000,-0.018790
90350,20050126,52.06000,-0.003064
90350,20050127,51.69000,-0.007107
90350,20050128,51.77000,0.001548
90350,20050131,51.71000,-0.001159
90350,20050201,52.09000,0.007349
90350,20050202,52.67000,0.011135
90350,20050203,52.79000,0.002278
90350,20050204,53.55000,0.014397
90350,20050207,53.37000,-0.003361
90350,20050208,53.50000,0.002436
90350,20050209,53.84000,0.006355
90350,20050210,54.25000,0.007615
90350,20050211,54.41000,0.002949
90350,20050214,54.42000,0.000184
90350,20050215,54.66000,0.004410
90350,20050216,54.98000,0.005854
90350,20050217,54.94000,-0.000728
90350,20050218,54.46000,-0.008737
90350,20050222,52.90000,-0.028645
90350,20050223,52.70000,-0.003781
90350,20050224,52.74000,0.000759
90350,20050225,53.50000,0.014410
90350,20050228,53.35000,-0.002804
