PERMNO,date,PRC,RET
89998,20041004,54.18000,0.001664
89998,20041005,54.44000,0.004799
89998,20041006,54.55000,0.002021
89998,20041007,54.46000,-0.001650
89998,20041008,54.60000,0.002571
89998,20041011,54.55000,-0.000916
89998,20041012,54.83000,0.005133
89998,20041013,54.07000,-0.013861
89998,20041014,54.00000,-0.001295
89998,20041015,54.70000,0.012963
89998,20041018,54.35000,-0.006399
89998,20041019,54.08000,-0.004968
89998,20041020,54.18000,0.001849
89998,20041021,54.46000,0.005168
89998,20041022,54.72000,0.004774
89998,20041025,55.31000,0.010782
89998,20041026,55.97000,0.011933
89998,20041027,56.05000,0.001429
89998,20041028,55.63000,-0.007493
89998,20041029,56.01000,0.006831
89998,20041101,56.26000,0.004463
89998,20041102,55.74000,-0.009243
89998,20041103,56.36000,0.011123
89998,20041104,57.67000,0.023243
89998,20041105,57.35000,-0.005549
89998,20041108,57.88000,0.009242
89998,20041109,57.86000,-0.000346
89998,20041110,57.84000,-0.000346
89998,20041111,58.39000,0.009509
89998,20041112,58.70000,0.005309
89998,20041115,58.79000,0.001533
89998,20041116,58.66000,-0.002211
89998,20041117,58.29000,-0.006308
89998,20041118,58.32000,0.000515
89998,20041119,58.09000,-0.003944
89998,20041122,58.79000,0.012050
89998,20041123,59.18000,0.006634
89998,20041124,59.48000,0.005069
89998,20041126,59.83000,0.005884
89998,20041129,59.31000,-0.008691
89998,20041130,58.46000,-0.014332
89998,20041201,57.99000,-0.008040
89998,20041202,57.35000,-0.011036
89998,20041203,57.63000,0.004882
89998,20041206,58.25000,0.010758
89998,20041207,57.80000,-0.007725
89998,20041208,57.52000,-0.004844
89998,20041209,57.58000,0.001043
89998,20041210,57.71000,0.002258
89998,20041213,58.48000,0.013343
89998,20041214,58.53000,0.000855
89998,20041215,59.18000,0.011105
89998,20041216,59.11000,-0.001183
89998,20041217,59.18000,0.001184
89998,20041220,59.54000,0.006083
89998,20041221,60.07000,0.008902
89998,20041222,58.60000,0.001265
89998,20041223,58.67000,0.001195
89998,20041227,58.36000,-0.005284
89998,20041228,58.40000,0.000685
89998,20041229,58.63000,0.003938
89998,20041230,58.85000,0.003752
89998,20041231,58.56000,-0.004928
89998,20050103,57.82000,-0.012637
89998,20050104,57.29000,-0.009166
89998,20050105,56.74000,-0.009600
89998,20050106,56.82000,0.001410
89998,20050107,56.78000,-0.000704
89998,20050110,56.92000,0.002466
89998,20050111,56.87000,-0.000878
89998,20050112,56.85000,-0.000352
89998,20050113,57.12000,0.004749
89998,20050114,57.57000,0.007878
89998,20050118,58.08000,0.008859
89998,20050119,57.92000,-0.002755
89998,20050120,57.73000,-0.003280
89998,20050121,57.60000,-0.002252
89998,20050124,57.98000,0.006597
89998,20050125,57.62000,-0.006209
89998,20050126,58.39000,0.013363
89998,20050127,58.62000,0.003939
89998,20050128,58.70000,0.001365
89998,20050131,59.18000,0.008177
89998,20050201,59.61000,0.007266
89998,20050202,59.96000,0.005871
89998,20050203,60.03000,0.001167
89998,20050204,60.88000,0.014160
89998,20050207,60.69000,-0.003121
89998,20050208,60.93000,0.003955
89998,20050209,60.66000,-0.004431
89998,20050210,60.71000,0.000824
89998,20050211,60.85000,0.002306
89998,20050214,61.19000,0.005588
89998,20050215,61.23000,0.000654
89998,20050216,61.45000,0.003593
89998,20050217,61.33000,-0.001953
89998,20050218,60.62000,-0.011577
89998,20050222,59.07000,-0.025569
89998,20050223,59.49000,0.007110
89998,20050224,59.94000,0.007564
89998,20050225,60.95000,0.016850
89998,20050228,60.47000,-0.007875
89998,20050301,60.82000,0.005788
89998,20050302,60.82000,0.000000
89998,20050303,60.93000,0.001809
89998,20050304,61.87000,0.015428
89998,20050307,62.35000,0.007758
89998,20050308,62.11000,-0.003849
89998,20050309,61.11000,-0.016100
89998,20050310,61.41000,0.004909
89998,20050311,61.05000,-0.005862
89998,20050314,61.97000,0.015070
89998,20050315,61.84850,-0.001961
89998,20050316,61.13800,-0.011488
89998,20050317,61.45000,0.005103
89998,20050318,61.23000,-0.003580
89998,20050321,61.24000,0.000163
89998,20050322,60.27000,-0.015839
89998,20050323,59.73000,-0.008960
89998,20050324,59.88000,0.009459
89998,20050328,59.98000,0.001670
89998,20050329,59.27000,-0.011837
89998,20050330,59.98000,0.011979
89998,20050331,60.68000,0.011671
89998,20050401,60.78000,0.001648
89998,20050404,60.80000,0.000329
89998,20050405,61.35000,0.009046
89998,20050406,61.31000,-0.000652
89998,20050407,61.65000,0.005546
89998,20050408,61.25000,-0.006488
89998,20050411,61.61000,0.005878
89998,20050412,62.26000,0.010550
89998,20050413,61.82000,-0.007067
89998,20050414,61.15000,-0.010838
89998,20050415,60.21000,-0.015372
89998,20050418,60.31000,0.001661
89998,20050419,61.19000,0.014591
89998,20050420,60.63000,-0.009152
89998,20050421,61.27000,0.010556
89998,20050422,61.14000,-0.002122
89998,20050425,61.94000,0.013085
89998,20050426,61.43000,-0.008234
89998,20050427,61.68000,0.004070
89998,20050428,61.28000,-0.006485
89998,20050429,62.01000,0.011913
89998,20050502,62.23000,0.003548
89998,20050503,61.88000,-0.005624
89998,20050504,62.04000,0.002586
89998,20050505,62.00000,-0.000645
89998,20050506,61.94000,-0.000968
89998,20050509,62.27000,0.005328
89998,20050510,61.96000,-0.004978
89998,20050511,62.15000,0.003067
89998,20050512,61.58800,-0.009043
89998,20050513,60.57000,-0.016529
89998,20050516,61.09000,0.008585
89998,20050517,61.52000,0.007039
89998,20050518,62.01000,0.007965
89998,20050519,62.18000,0.002742
89998,20050520,62.08000,-0.001608
89998,20050523,62.02000,-0.000967
89998,20050524,61.99000,-0.000484
89998,20050525,62.20000,0.003388
89998,20050526,62.37000,0.002733
89998,20050527,62.71000,0.005451
89998,20050531,62.98000,0.004306
89998,20050601,63.48000,0.007939
89998,20050602,63.56000,0.001260
89998,20050603,63.48000,-0.001259
89998,20050606,63.68000,0.003151
89998,20050607,63.78000,0.001570
89998,20050608,63.86000,0.001254
89998,20050609,64.00000,0.002192
89998,20050610,64.26000,0.004063
89998,20050613,64.55000,0.004513
89998,20050614,64.76000,0.003253
89998,20050615,64.50000,-0.004015
89998,20050616,64.56000,0.000930
89998,20050617,65.14000,0.008984
89998,20050620,65.29000,0.002303
89998,20050621,65.22000,-0.001072
89998,20050622,65.73000,0.007820
89998,20050623,65.75000,0.000304
89998,20050624,65.25000,-0.007605
89998,20050627,65.19000,0.007203
89998,20050628,65.80000,0.009357
89998,20050629,65.65000,-0.002280
89998,20050630,65.84000,0.002894
89998,20050701,66.33000,0.007442
89998,20050705,66.65000,0.004824
89998,20050706,65.61000,-0.015604
89998,20050707,65.89000,0.004268
89998,20050708,66.71000,0.012445
89998,20050711,67.24000,0.007945
89998,20050712,67.37000,0.001933
89998,20050713,67.42000,0.000742
89998,20050714,66.84000,-0.008603
89998,20050715,66.74000,-0.001496
89998,20050718,66.63000,-0.001648
89998,20050719,66.85000,0.003302
89998,20050720,67.14000,0.004338
89998,20050721,65.95000,-0.017724
89998,20050722,66.64000,0.010463
89998,20050725,66.54000,-0.001501
89998,20050726,66.58000,0.000601
89998,20050727,66.87000,0.004356
89998,20050728,67.33000,0.006879
89998,20050729,67.34000,0.000148
89998,20050801,66.66000,-0.010098
89998,20050802,67.97000,0.019652
89998,20050803,68.18000,0.003090
89998,20050804,67.64000,-0.007920
89998,20050805,66.54000,-0.016263
89998,20050808,65.28000,-0.018936
89998,20050809,65.83000,0.008425
89998,20050810,65.76000,-0.001063
89998,20050811,66.27000,0.007755
89998,20050812,66.22000,-0.000754
89998,20050815,66.37000,0.002265
89998,20050816,65.43000,-0.014163
89998,20050817,65.27000,-0.002445
89998,20050818,65.57000,0.004596
89998,20050819,65.88000,0.004728
89998,20050822,66.37000,0.007438
89998,20050823,66.75000,0.005725
89998,20050824,66.56000,-0.002846
89998,20050825,67.13000,0.008564
89998,20050826,66.88000,-0.003724
89998,20050829,67.28000,0.005981
89998,20050830,67.10000,-0.002675
89998,20050831,67.75000,0.009687
89998,20050901,68.70000,0.014022
89998,20050902,68.65000,-0.000728
89998,20050906,69.20000,0.008012
89998,20050907,69.29000,0.001301
89998,20050908,68.62000,-0.009669
89998,20050909,69.57000,0.013844
89998,20050912,69.55000,-0.000287
89998,20050913,68.91000,-0.009202
89998,20050914,69.17000,0.003773
89998,20050915,69.45000,0.004048
89998,20050916,70.29000,0.012095
89998,20050919,70.17000,-0.001707
89998,20050920,69.72000,-0.006413
89998,20050921,68.75000,-0.013913
89998,20050922,68.18000,-0.008291
89998,20050923,68.59000,0.006013
89998,20050926,68.56000,0.005380
89998,20050927,68.71000,0.002188
89998,20050928,69.24000,0.007714
89998,20050929,70.03000,0.011410
89998,20050930,69.91000,-0.001713
89998,20051003,70.70000,0.011300
89998,20051004,69.61000,-0.015417
89998,20051005,67.47000,-0.030743
89998,20051006,66.44000,-0.015266
89998,20051007,67.34000,0.013546
89998,20051010,66.20000,-0.016929
89998,20051011,66.10000,-0.001511
