PERMNO,date,PRC,RET
89994,20041004,51.30000,0.004110
89994,20041005,51.00000,-0.005848
89994,20041006,51.24000,0.004706
89994,20041007,51.18000,-0.001171
89994,20041008,50.98000,-0.003908
89994,20041011,51.18000,0.003923
89994,20041012,51.20000,0.000391
89994,20041013,50.86000,-0.006641
89994,20041014,49.78000,-0.021235
89994,20041015,50.17000,0.007834
89994,20041018,50.21000,0.000797
89994,20041019,49.69000,-0.010357
89994,20041020,49.05000,-0.012880
89994,20041021,49.25000,0.004077
89994,20041022,48.92000,-0.006701
89994,20041025,48.96000,0.000818
89994,20041026,50.03000,0.021855
89994,20041027,50.61000,0.011593
89994,20041028,51.06000,0.008892
89994,20041029,50.95000,-0.002154
89994,20041101,51.13000,0.003533
89994,20041102,51.34000,0.004107
89994,20041103,51.69000,0.006817
89994,20041104,52.30000,0.011801
89994,20041105,52.20000,-0.001912
89994,20041108,52.22000,0.000383
89994,20041109,52.34000,0.002298
89994,20041110,52.37000,0.000573
89994,20041111,52.86000,0.009357
89994,20041112,53.12000,0.004919
89994,20041115,53.35000,0.004330
89994,20041116,53.01000,-0.006373
89994,20041117,52.94000,-0.001320
89994,20041118,52.68000,-0.004911
89994,20041119,52.20000,-0.009112
89994,20041122,52.51000,0.005939
89994,20041123,52.53000,0.000381
89994,20041124,52.83000,0.005711
89994,20041126,52.98000,0.002839
89994,20041129,52.91000,-0.001321
89994,20041130,52.77000,-0.002646
89994,20041201,53.61000,0.015918
89994,20041202,53.65000,0.000746
89994,20041203,53.63000,-0.000373
89994,20041206,53.69000,0.001119
89994,20041207,53.21000,-0.008940
89994,20041208,53.17000,-0.000752
89994,20041209,53.38000,0.003950
89994,20041210,53.61000,0.004309
89994,20041213,53.93000,0.005969
89994,20041214,54.15000,0.004079
89994,20041215,54.40000,0.004617
89994,20041216,54.01000,-0.007169
89994,20041217,54.01000,0.000000
89994,20041220,53.90000,-0.002037
89994,20041221,54.55000,0.012059
89994,20041222,53.72000,0.005830
89994,20041223,53.73000,0.000186
89994,20041227,53.52000,-0.003908
89994,20041228,53.67000,0.002803
89994,20041229,53.67000,0.000000
89994,20041230,53.89000,0.004099
89994,20041231,53.81000,-0.001484
89994,20050103,53.41000,-0.007434
89994,20050104,53.01000,-0.007489
89994,20050105,52.66000,-0.006602
89994,20050106,52.77000,0.002089
89994,20050107,52.60000,-0.003222
89994,20050110,52.61000,0.000190
89994,20050111,52.50000,-0.002091
89994,20050112,52.28000,-0.004190
89994,20050113,51.81000,-0.008990
89994,20050114,52.07000,0.005018
89994,20050118,52.80000,0.014020
89994,20050119,52.44000,-0.006818
89994,20050120,52.00000,-0.008391
89994,20050121,51.81000,-0.003654
89994,20050124,51.87000,0.001158
89994,20050125,51.63000,-0.004627
89994,20050126,51.96000,0.006392
89994,20050127,51.70000,-0.005004
89994,20050128,51.43000,-0.005222
89994,20050131,52.17000,0.014388
89994,20050201,52.75000,0.011118
89994,20050202,52.72000,-0.000569
89994,20050203,52.48000,-0.004552
89994,20050204,53.18000,0.013338
89994,20050207,53.17000,-0.000188
89994,20050208,53.03000,-0.002633
89994,20050209,52.93000,-0.001886
89994,20050210,53.02000,0.001700
89994,20050211,53.42000,0.007544
89994,20050214,53.35000,-0.001310
89994,20050215,53.39000,0.000750
89994,20050216,53.28000,-0.002060
89994,20050217,52.84000,-0.008258
89994,20050218,52.24000,-0.011355
89994,20050222,51.53000,-0.013591
89994,20050223,51.75000,0.004269
89994,20050224,51.82000,0.001353
89994,20050225,52.34000,0.010035
89994,20050228,52.01000,-0.006305
89994,20050301,52.56000,0.010575
89994,20050302,52.33000,-0.004376
89994,20050303,52.23000,-0.001911
89994,20050304,52.94000,0.013594
89994,20050307,52.93000,-0.000189
89994,20050308,52.88000,-0.000945
89994,20050309,52.19000,-0.013048
89994,20050310,52.24000,0.000958
89994,20050311,51.80000,-0.008423
89994,20050314,52.20000,0.007722
89994,20050315,52.11000,-0.001724
89994,20050316,51.60000,-0.009787
89994,20050317,51.50000,-0.001938
89994,20050318,51.17000,-0.006408
89994,20050321,50.73000,-0.008599
89994,20050322,50.00000,-0.014390
89994,20050323,50.00000,0.000000
89994,20050324,49.81000,-0.002400
89994,20050328,49.86000,0.001004
89994,20050329,49.80000,-0.001203
89994,20050330,50.04000,0.004819
89994,20050331,50.21000,0.003397
89994,20050401,49.40000,-0.016132
89994,20050404,49.92000,0.010526
89994,20050405,49.90000,-0.000401
89994,20050406,50.22000,0.006413
89994,20050407,50.35000,0.002589
89994,20050408,50.06000,-0.005760
89994,20050411,50.14000,0.001598
89994,20050412,49.78000,-0.007180
89994,20050413,49.90000,0.002411
89994,20050414,49.57000,-0.006613
89994,20050415,48.90000,-0.013516
89994,20050418,49.30000,0.008180
89994,20050419,49.49000,0.003854
89994,20050420,48.75000,-0.014953
89994,20050421,49.13000,0.007795
89994,20050422,48.75000,-0.007735
89994,20050425,49.54000,0.016205
89994,20050426,49.55000,0.000202
89994,20050427,49.83000,0.005651
89994,20050428,49.55000,-0.005619
89994,20050429,49.65000,0.002018
89994,20050502,50.20000,0.011078
89994,20050503,50.15000,-0.000996
89994,20050504,51.14000,0.019741
89994,20050505,51.09000,-0.000978
89994,20050506,50.94000,-0.002936
89994,20050509,51.15000,0.004123
89994,20050510,50.48000,-0.013099
89994,20050511,50.94000,0.009113
89994,20050512,50.37000,-0.011190
89994,20050513,49.87000,-0.009927
89994,20050516,50.70000,0.016643
89994,20050517,51.02000,0.006312
89994,20050518,51.70000,0.013328
89994,20050519,51.86000,0.003095
89994,20050520,51.71000,-0.002892
89994,20050523,51.97000,0.005028
89994,20050524,51.51000,-0.008851
89994,20050525,51.38000,-0.002524
89994,20050526,51.83000,0.008758
89994,20050527,51.84000,0.000193
89994,20050531,51.80000,-0.000772
89994,20050601,52.00000,0.003861
89994,20050602,52.14000,0.002692
89994,20050603,51.83000,-0.005945
89994,20050606,51.86000,0.000579
89994,20050607,52.18000,0.006170
89994,20050608,52.07000,-0.002108
89994,20050609,52.17000,0.001920
89994,20050610,52.06000,-0.002108
89994,20050613,52.02000,-0.000768
89994,20050614,52.26000,0.004614
89994,20050615,52.44000,0.003444
89994,20050616,52.64000,0.003814
89994,20050617,52.95000,0.005889
89994,20050620,53.00000,0.000944
89994,20050621,52.95000,-0.000943
89994,20050622,52.97000,0.000378
89994,20050623,52.56000,-0.007740
89994,20050624,52.40000,-0.003044
89994,20050627,52.16800,0.000496
89994,20050628,52.60000,0.008281
89994,20050629,52.85000,0.004753
89994,20050630,52.92000,0.001324
89994,20050701,52.67000,-0.004724
89994,20050705,53.00000,0.006265
89994,20050706,52.82800,-0.003245
89994,20050707,52.71000,-0.002234
89994,20050708,53.46000,0.014229
89994,20050711,53.64000,0.003367
89994,20050712,53.79000,0.002796
89994,20050713,53.92000,0.002417
89994,20050714,53.97000,0.000927
89994,20050715,53.97600,0.000111
89994,20050718,53.65000,-0.006040
89994,20050719,53.76000,0.002050
89994,20050720,53.91000,0.002790
89994,20050721,53.62000,-0.005379
89994,20050722,53.85000,0.004289
89994,20050725,53.69000,-0.002971
89994,20050726,53.87000,0.003353
89994,20050727,53.88000,0.000186
89994,20050728,54.11000,0.004269
89994,20050729,53.72000,-0.007208
89994,20050801,53.72000,0.000000
89994,20050802,53.94000,0.004095
89994,20050803,54.09000,0.002781
89994,20050804,53.72000,-0.006840
89994,20050805,52.98000,-0.013775
89994,20050808,52.61000,-0.006984
89994,20050809,52.79000,0.003421
89994,20050810,52.96000,0.003220
89994,20050811,53.14000,0.003399
89994,20050812,52.98000,-0.003011
89994,20050815,53.26000,0.005285
89994,20050816,53.03000,-0.004318
89994,20050817,52.97000,-0.001131
89994,20050818,52.88000,-0.001699
89994,20050819,53.02000,0.002647
89994,20050822,53.02000,0.000000
89994,20050823,52.97000,-0.000943
89994,20050824,52.54000,-0.008118
89994,20050825,52.59000,0.000952
89994,20050826,52.17000,-0.007986
89994,20050829,52.38000,0.004025
89994,20050830,52.10000,-0.005346
89994,20050831,52.49000,0.007486
89994,20050901,52.88000,0.007430
89994,20050902,52.73000,-0.002837
89994,20050906,53.22000,0.009293
89994,20050907,53.31000,0.001691
89994,20050908,53.06000,-0.004690
89994,20050909,53.30000,0.004523
89994,20050912,53.40000,0.001876
89994,20050913,53.15000,-0.004682
89994,20050914,52.93000,-0.004139
89994,20050915,52.91000,-0.000378
89994,20050916,53.69000,0.014742
89994,20050919,53.25000,-0.008195
89994,20050920,52.96000,-0.005446
89994,20050921,52.05000,-0.017183
89994,20050922,52.36000,0.005956
89994,20050923,52.54000,0.003438
89994,20050926,52.23000,-0.000895
89994,20050927,52.14000,-0.001723
89994,20050928,51.86000,-0.005370
89994,20050929,52.63000,0.014848
89994,20050930,52.66000,0.000570
89994,20051003,52.59000,-0.001329
89994,20051004,52.11000,-0.009127
89994,20051005,51.71000,-0.007676
89994,20051006,51.74000,0.000580
89994,20051007,51.76000,0.000386
89994,20051010,51.43000,-0.006376
