PERMNO,date,PRC,RET
89996,20041004,43.70000,0.014863
89996,20041005,43.42000,-0.006407
89996,20041006,43.86000,0.010134
89996,20041007,43.62000,-0.005472
89996,20041008,42.50000,-0.025676
89996,20041011,42.78000,0.006588
89996,20041012,42.10000,-0.015895
89996,20041013,42.44000,0.008076
89996,20041014,42.19000,-0.005891
89996,20041015,42.24000,0.001185
89996,20041018,42.62000,0.008996
89996,20041019,43.03000,0.009620
89996,20041020,42.88000,-0.003486
89996,20041021,43.68000,0.018657
89996,20041022,42.74000,-0.021520
89996,20041025,42.60000,-0.003276
89996,20041026,42.52000,-0.001878
89996,20041027,43.74000,0.028692
89996,20041028,43.85000,0.002515
89996,20041029,43.95000,0.002281
89996,20041101,44.03000,0.001820
89996,20041102,44.16000,0.002953
89996,20041103,44.38000,0.004982
89996,20041104,44.93000,0.012393
89996,20041105,45.34000,0.009125
89996,20041108,45.46000,0.002647
89996,20041109,45.57000,0.002420
89996,20041110,44.96000,-0.013386
89996,20041111,45.61000,0.014457
89996,20041112,45.90850,0.006545
89996,20041115,46.51000,0.013102
89996,20041116,46.28000,-0.004945
89996,20041117,46.88000,0.012965
89996,20041118,47.10000,0.004693
89996,20041119,46.18000,-0.019533
89996,20041122,46.47000,0.006280
89996,20041123,46.29000,-0.003873
89996,20041124,46.58000,0.006265
89996,20041126,46.63000,0.001073
89996,20041129,46.66000,0.000643
89996,20041130,46.44000,-0.004715
89996,20041201,47.11000,0.014427
89996,20041202,47.43000,0.006793
89996,20041203,47.93000,0.010542
89996,20041206,48.25000,0.006676
89996,20041207,47.31000,-0.019482
89996,20041208,47.26000,-0.001057
89996,20041209,47.14000,-0.002539
89996,20041210,47.00000,-0.002970
89996,20041213,47.39000,0.008298
89996,20041214,47.60000,0.004431
89996,20041215,47.76000,0.003361
89996,20041216,47.32000,-0.009213
89996,20041217,47.19000,-0.002747
89996,20041220,46.70000,-0.010384
89996,20041221,47.23000,0.011349
89996,20041222,46.97000,0.007389
89996,20041223,47.00000,0.000639
89996,20041227,46.79000,-0.004468
89996,20041228,46.89000,0.002137
89996,20041229,47.03000,0.002986
89996,20041230,47.18000,0.003189
89996,20041231,47.06000,-0.002543
89996,20050103,46.56000,-0.010625
89996,20050104,45.60000,-0.020619
89996,20050105,45.36000,-0.005263
89996,20050106,45.19000,-0.003748
89996,20050107,45.22000,0.000664
89996,20050110,45.21000,-0.000221
89996,20050111,44.86000,-0.007742
89996,20050112,44.91000,0.001115
89996,20050113,44.96000,0.001113
89996,20050114,44.77000,-0.004226
89996,20050118,45.14000,0.008264
89996,20050119,44.42000,-0.015950
89996,20050120,43.98000,-0.009905
89996,20050121,43.58000,-0.009095
89996,20050124,43.11000,-0.010785
89996,20050125,43.37000,0.006031
89996,20050126,43.93000,0.012912
89996,20050127,44.03000,0.002276
89996,20050128,43.74000,-0.006586
89996,20050131,44.24000,0.011431
89996,20050201,44.53000,0.006555
89996,20050202,44.61000,0.001797
89996,20050203,44.15000,-0.010312
89996,20050204,44.56000,0.009287
89996,20050207,45.03000,0.010548
89996,20050208,45.00000,-0.000666
89996,20050209,44.52000,-0.010667
89996,20050210,44.45000,-0.001572
89996,20050211,45.00000,0.012373
89996,20050214,45.12000,0.002667
89996,20050215,45.22000,0.002216
89996,20050216,45.19000,-0.000663
89996,20050217,44.75000,-0.009737
89996,20050218,44.50000,-0.005587
89996,20050222,44.00000,-0.011236
89996,20050223,43.93000,-0.001591
89996,20050224,44.15000,0.005008
89996,20050225,44.54000,0.008834
89996,20050228,44.49000,-0.001123
89996,20050301,44.90000,0.009216
89996,20050302,44.80000,-0.002227
89996,20050303,44.60000,-0.004464
89996,20050304,44.80000,0.004484
89996,20050307,45.29000,0.010938
89996,20050308,45.02000,-0.005962
89996,20050309,44.94000,-0.001777
89996,20050310,44.85000,-0.002003
89996,20050311,44.22000,-0.014047
89996,20050314,44.45000,0.005201
89996,20050315,44.10000,-0.007874
89996,20050316,43.52000,-0.013152
89996,20050317,43.63000,0.002528
89996,20050318,43.24000,-0.008939
89996,20050321,43.38000,0.003238
89996,20050322,43.00000,-0.008760
89996,20050323,43.25000,0.005814
89996,20050324,43.57000,0.007399
89996,20050328,43.28000,-0.006656
89996,20050329,42.83000,-0.010397
89996,20050330,43.53000,0.016344
89996,20050331,43.45000,-0.001838
89996,20050401,43.15000,-0.006904
89996,20050404,43.31000,0.003708
89996,20050405,43.20000,-0.002540
89996,20050406,43.27000,0.001620
89996,20050407,43.62000,0.008089
89996,20050408,43.38000,-0.005502
89996,20050411,43.12000,-0.005994
89996,20050412,43.19000,0.001623
89996,20050413,42.57000,-0.014355
89996,20050414,42.03000,-0.012685
89996,20050415,40.61000,-0.033785
89996,20050418,40.86000,0.006156
89996,20050419,41.29000,0.010524
89996,20050420,41.00000,-0.007024
89996,20050421,42.09000,0.026585
89996,20050422,41.32000,-0.018294
89996,20050425,41.94000,0.015005
89996,20050426,41.64000,-0.007153
89996,20050427,41.60000,-0.000961
89996,20050428,41.03000,-0.013702
89996,20050429,41.50000,0.011455
89996,20050502,41.47000,-0.000723
89996,20050503,41.63000,0.003858
89996,20050504,42.18000,0.013212
89996,20050505,42.16000,-0.000474
89996,20050506,42.37000,0.004981
89996,20050509,42.33000,-0.000944
89996,20050510,41.92000,-0.009686
89996,20050511,42.38000,0.010973
89996,20050512,42.18000,-0.004719
89996,20050513,42.87000,0.016358
89996,20050516,43.30000,0.010030
89996,20050517,43.34000,0.000924
89996,20050518,44.17000,0.019151
89996,20050519,44.45000,0.006339
89996,20050520,44.63000,0.004050
89996,20050523,44.85000,0.004929
89996,20050524,45.03000,0.004013
89996,20050525,44.77000,-0.005774
89996,20050526,45.35000,0.012955
89996,20050527,45.16000,-0.004190
89996,20050531,45.10000,-0.001329
89996,20050601,45.32000,0.004878
89996,20050602,45.57000,0.005516
89996,20050603,45.12000,-0.009875
89996,20050606,45.13000,0.000222
89996,20050607,45.10000,-0.000665
89996,20050608,44.85000,-0.005543
89996,20050609,45.12000,0.006020
89996,20050610,44.84000,-0.006206
89996,20050613,45.17000,0.007359
89996,20050614,44.83000,-0.007527
89996,20050615,44.82000,-0.000223
89996,20050616,45.20000,0.008478
89996,20050617,45.32000,0.002655
89996,20050620,45.15000,-0.003751
89996,20050621,45.44000,0.006423
89996,20050622,45.58000,0.003081
89996,20050623,45.16200,-0.009171
89996,20050624,44.50000,-0.014658
89996,20050627,44.24000,-0.005843
89996,20050628,44.75000,0.011528
89996,20050629,44.71000,-0.000894
89996,20050630,44.40000,-0.006934
89996,20050701,44.27000,-0.002928
89996,20050705,44.76000,0.011068
89996,20050706,44.70000,-0.001340
89996,20050707,44.75000,0.001119
89996,20050708,45.62000,0.019441
