PERMNO,date,PRC,RET
89995,20041004,48.22000,0.006891
89995,20041005,47.90000,-0.006636
89995,20041006,47.87000,-0.000626
89995,20041007,46.80000,-0.022352
89995,20041008,46.23000,-0.012179
89995,20041011,46.53000,0.006489
89995,20041012,46.50000,-0.000645
89995,20041013,45.96000,-0.011613
89995,20041014,45.78000,-0.003916
89995,20041015,45.68000,-0.002184
89995,20041018,46.20000,0.011384
89995,20041019,45.43000,-0.016667
89995,20041020,45.48000,0.001101
89995,20041021,45.12000,-0.007916
89995,20041022,44.74000,-0.008422
89995,20041025,44.48000,-0.005811
89995,20041026,45.09000,0.013714
89995,20041027,46.51000,0.031493
89995,20041028,46.41000,-0.002150
89995,20041029,46.51000,0.002155
89995,20041101,46.09000,-0.009030
89995,20041102,45.62000,-0.010197
89995,20041103,47.09000,0.032223
89995,20041104,47.26000,0.003610
89995,20041105,47.42000,0.003386
89995,20041108,47.48000,0.001265
89995,20041109,47.61000,0.002738
89995,20041110,47.65000,0.000840
89995,20041111,47.88000,0.004827
89995,20041112,47.92000,0.000835
89995,20041115,48.02000,0.002087
89995,20041116,47.92000,-0.002083
89995,20041117,47.80000,-0.002504
89995,20041118,47.68000,-0.002510
89995,20041119,47.15000,-0.011116
89995,20041122,47.18000,0.000636
89995,20041123,47.13000,-0.001060
89995,20041124,47.21000,0.001697
89995,20041126,47.60000,0.008261
89995,20041129,47.52000,-0.001681
89995,20041130,47.67000,0.003157
89995,20041201,48.41000,0.015523
89995,20041202,48.92000,0.010535
89995,20041203,48.67000,-0.005110
89995,20041206,48.55000,-0.002466
89995,20041207,47.90000,-0.013388
89995,20041208,48.76000,0.017954
89995,20041209,48.99000,0.004717
89995,20041210,49.01000,0.000408
89995,20041213,49.26000,0.005101
89995,20041214,49.57000,0.006293
89995,20041215,49.75000,0.003631
89995,20041216,50.43000,0.013668
89995,20041217,49.68600,-0.014753
89995,20041220,49.11000,-0.011593
89995,20041221,49.40000,0.005905
89995,20041222,49.73000,0.009372
89995,20041223,49.79000,0.001207
89995,20041227,49.88000,0.001808
89995,20041228,50.34000,0.009222
89995,20041229,50.44000,0.001986
89995,20041230,50.54000,0.001983
89995,20041231,50.28000,-0.005144
89995,20050103,49.59000,-0.013723
89995,20050104,49.20000,-0.007864
89995,20050105,49.12000,-0.001626
89995,20050106,49.48000,0.007329
89995,20050107,49.45000,-0.000606
89995,20050110,49.71000,0.005258
89995,20050111,49.52000,-0.003822
89995,20050112,49.68900,0.003413
89995,20050113,49.06000,-0.012659
89995,20050114,49.34000,0.005707
89995,20050118,49.55000,0.004256
89995,20050119,49.41000,-0.002825
89995,20050120,49.18000,-0.004655
89995,20050121,48.82000,-0.007320
89995,20050124,48.38000,-0.009013
89995,20050125,48.61000,0.004754
89995,20050126,49.02000,0.008434
89995,20050127,48.96000,-0.001224
89995,20050128,48.51000,-0.009191
89995,20050131,48.63000,0.002474
89995,20050201,49.13000,0.010282
89995,20050202,49.31000,0.003664
89995,20050203,49.02150,-0.005851
89995,20050204,49.59150,0.011628
89995,20050207,49.67000,0.001583
89995,20050208,49.75000,0.001611
89995,20050209,49.25000,-0.010050
89995,20050210,49.33000,0.001624
89995,20050211,49.85000,0.010541
89995,20050214,49.85000,0.000000
89995,20050215,49.90000,0.001003
89995,20050216,49.68000,-0.004409
89995,20050217,49.66000,-0.000403
89995,20050218,50.21000,0.011075
89995,20050222,49.59000,-0.012348
89995,20050223,49.96000,0.007461
89995,20050224,50.25000,0.005805
89995,20050225,50.72000,0.009353
89995,20050228,50.13000,-0.011632
89995,20050301,50.43000,0.005984
89995,20050302,50.47000,0.000793
89995,20050303,50.40000,-0.001387
89995,20050304,50.74000,0.006746
89995,20050307,50.81000,0.001380
89995,20050308,50.53000,-0.005511
89995,20050309,50.27000,-0.005145
89995,20050310,50.30000,0.000597
89995,20050311,49.85000,-0.008946
89995,20050314,50.20000,0.007021
89995,20050315,49.69000,-0.010159
89995,20050316,49.22000,-0.009459
89995,20050317,49.36000,0.002844
89995,20050318,49.16000,-0.004052
89995,20050321,49.20000,0.000814
89995,20050322,49.15000,-0.001016
89995,20050323,49.70000,0.011190
89995,20050324,49.83000,0.002616
89995,20050328,49.74000,-0.001806
89995,20050329,49.44000,-0.006031
89995,20050330,50.11000,0.013552
89995,20050331,49.87000,-0.004789
89995,20050401,49.49000,-0.007620
89995,20050404,49.73000,0.004849
89995,20050405,50.51000,0.015685
89995,20050406,50.67000,0.003168
89995,20050407,51.08000,0.008092
89995,20050408,50.78000,-0.005873
89995,20050411,50.61000,-0.003348
89995,20050412,51.03000,0.008299
89995,20050413,51.15000,0.002352
89995,20050414,51.00000,-0.002933
89995,20050415,51.35000,0.006863
89995,20050418,50.87000,-0.009348
89995,20050419,50.98000,0.002162
89995,20050420,50.28000,-0.013731
89995,20050421,51.03000,0.014916
89995,20050422,50.96000,-0.001372
89995,20050425,50.88000,-0.001570
89995,20050426,50.78000,-0.001965
89995,20050427,51.10000,0.006302
89995,20050428,50.68000,-0.008219
89995,20050429,51.48000,0.015785
89995,20050502,51.61000,0.002525
89995,20050503,51.59000,-0.000388
89995,20050504,52.19000,0.011630
89995,20050505,52.19000,0.000000
89995,20050506,52.14000,-0.000958
89995,20050509,52.34000,0.003836
89995,20050510,52.10000,-0.004585
89995,20050511,52.32000,0.004223
89995,20050512,52.16000,-0.003058
89995,20050513,51.92000,-0.004601
89995,20050516,52.43000,0.009823
89995,20050517,52.37000,-0.001144
89995,20050518,52.57000,0.003819
89995,20050519,52.65000,0.001522
89995,20050520,52.61000,-0.000760
89995,20050523,52.69000,0.001521
89995,20050524,52.86000,0.003226
89995,20050525,52.49000,-0.007000
89995,20050526,52.70000,0.004001
89995,20050527,52.60000,-0.001898
89995,20050531,52.35000,-0.004753
89995,20050601,52.53000,0.003438
89995,20050602,52.65000,0.002284
89995,20050603,52.33000,-0.006078
89995,20050606,52.43000,0.001911
89995,20050607,52.45000,0.000381
89995,20050608,51.96800,-0.009190
89995,20050609,52.36000,0.007543
89995,20050610,52.11000,-0.004775
89995,20050613,52.40000,0.005565
89995,20050614,52.78000,0.007252
89995,20050615,52.66000,-0.002274
89995,20050616,52.93000,0.005127
89995,20050617,53.33000,0.007557
89995,20050620,53.37000,0.000750
89995,20050621,53.16000,-0.003935
89995,20050622,52.98000,-0.003386
89995,20050623,52.70000,-0.005285
89995,20050624,52.43000,-0.005123
89995,20050627,52.22000,-0.004005
89995,20050628,52.81000,0.011298
89995,20050629,52.75000,-0.001136
89995,20050630,52.38000,-0.007014
89995,20050701,52.26000,-0.002291
89995,20050705,52.74000,0.009185
89995,20050706,52.35000,-0.007395
89995,20050707,52.41000,0.001146
89995,20050708,53.13000,0.013738
89995,20050711,53.20000,0.001318
89995,20050712,53.27000,0.001316
89995,20050713,52.94000,-0.006195
89995,20050714,53.21000,0.005100
89995,20050715,53.50000,0.005450
89995,20050718,53.26000,-0.004486
89995,20050719,53.26000,0.000000
89995,20050720,53.91200,0.012242
89995,20050721,53.37000,-0.010053
89995,20050722,53.28000,-0.001686
89995,20050725,52.96000,-0.006006
89995,20050726,53.25000,0.005476
89995,20050727,53.64000,0.007324
89995,20050728,54.14000,0.009321
89995,20050729,53.88000,-0.004802
89995,20050801,54.12000,0.004454
89995,20050802,54.45000,0.006098
89995,20050803,54.49000,0.000735
89995,20050804,54.05000,-0.008075
89995,20050805,53.57000,-0.008881
89995,20050808,53.27000,-0.005600
89995,20050809,53.77000,0.009386
89995,20050810,53.79000,0.000372
89995,20050811,54.17000,0.007064
89995,20050812,53.98000,-0.003507
89995,20050815,53.93000,-0.000926
89995,20050816,53.56000,-0.006861
89995,20050817,53.67000,0.002054
89995,20050818,53.63000,-0.000745
89995,20050819,53.26000,-0.006899
89995,20050822,53.35000,0.001690
89995,20050823,53.13000,-0.004124
89995,20050824,53.00000,-0.002447
89995,20050825,53.05000,0.000943
89995,20050826,52.85000,-0.003770
89995,20050829,53.35000,0.009461
89995,20050830,53.20000,-0.002812
89995,20050831,53.75000,0.010338
89995,20050901,53.97000,0.004093
89995,20050902,53.86000,-0.002038
89995,20050906,54.63000,0.014296
89995,20050907,54.99000,0.006590
89995,20050908,54.83000,-0.002910
89995,20050909,55.12000,0.005289
89995,20050912,54.98000,-0.002540
89995,20050913,54.40000,-0.010549
89995,20050914,54.21000,-0.003493
89995,20050915,54.25000,0.000738
89995,20050916,54.59000,0.006267
89995,20050919,54.18000,-0.007511
89995,20050920,53.84000,-0.006275
89995,20050921,53.51000,-0.006129
89995,20050922,53.56000,0.000934
89995,20050923,53.61000,0.000934
89995,20050926,53.53000,-0.001492
89995,20050927,53.18000,-0.006538
89995,20050928,53.32000,0.002633
89995,20050929,53.42000,0.001875
89995,20050930,53.46000,0.000749
89995,20051003,53.67000,0.003928
89995,20051004,53.89000,0.004099
89995,20051005,52.90000,-0.018371
89995,20051006,52.30000,-0.011342
89995,20051007,52.36000,0.001147
89995,20051010,52.26000,-0.001910
89995,20051011,51.83000,-0.008228
89995,20051012,51.79000,-0.000772
89995,20051013,52.09000,0.005793
89995,20051014,52.46000,0.007103
89995,20051017,52.40000,-0.001144
89995,20051018,52.39000,-0.000191
89995,20051019,52.84000,0.008589
89995,20051020,51.82000,-0.019304
89995,20051021,51.54000,-0.005403
89995,20051024,52.10000,0.010865
89995,20051025,51.86000,-0.004606
89995,20051026,51.34000,-0.010027
89995,20051027,50.93000,-0.007986
89995,20051028,51.50000,0.011192
89995,20051031,51.95000,0.008738
89995,20051101,51.76000,-0.003657
89995,20051102,51.97000,0.004057
89995,20051103,52.31000,0.006542
89995,20051104,52.49200,0.003479
89995,20051107,52.61000,0.002248
89995,20051108,52.45010,-0.003039
89995,20051109,52.58000,0.002477
89995,20051110,53.23000,0.012362
89995,20051111,53.35000,0.002254
89995,20051114,52.95000,-0.007498
89995,20051115,53.26000,0.005855
89995,20051116,53.12000,-0.002629
89995,20051117,53.50000,0.007154
89995,20051118,53.73000,0.004299
89995,20051121,53.88000,0.002792
89995,20051122,53.66000,-0.004083
89995,20051123,53.71000,0.000932
89995,20051125,53.71010,0.000002
89995,20051128,53.13000,-0.010801
89995,20051129,53.27000,0.002635
89995,20051130,53.00000,-0.005069
89995,20051201,53.47000,0.008868
89995,20051202,53.58100,0.002076
89995,20051205,53.70000,0.002221
89995,20051206,53.50000,-0.003724
89995,20051207,53.37000,-0.002430
89995,20051208,53.62000,0.004684
89995,20051209,53.71000,0.001678
89995,20051212,53.62800,-0.001527
89995,20051213,54.12000,0.009174
89995,20051214,54.23000,0.002033
89995,20051215,54.33000,0.001844
89995,20051216,54.40000,0.001288
89995,20051219,54.57000,0.003125
89995,20051220,54.61000,0.000733
89995,20051221,54.92000,0.005677
89995,20051222,54.92000,0.007047
89995,20051223,54.95000,0.000546
89995,20051227,54.48000,-0.008553
89995,20051228,54.57000,0.001652
89995,20051229,54.30000,-0.004948
