PERMNO,date,PRC,RET
75033,20041004,17.75000,0.018359
75033,20041005,17.61000,-0.007887
75033,20041006,17.72000,0.006246
75033,20041007,17.60000,-0.006772
75033,20041008,17.21000,-0.022159
75033,20041011,17.47000,0.015108
75033,20041012,17.13000,-0.019462
75033,20041013,17.00000,-0.007589
75033,20041014,16.68000,-0.018824
75033,20041015,14.94000,-0.104317
75033,20041018,14.36000,-0.038822
75033,20041019,14.09000,-0.018802
75033,20041020,14.14000,0.003549
75033,20041021,14.50000,0.025460
75033,20041022,14.20000,-0.020690
75033,20041025,14.30000,0.007042
75033,20041026,14.30000,0.000000
75033,20041027,14.78000,0.033566
75033,20041028,14.36000,-0.028417
75033,20041029,14.40000,0.002786
75033,20041101,14.25000,-0.010417
75033,20041102,14.50000,0.017544
75033,20041103,14.69000,0.013103
75033,20041104,14.87000,0.012253
75033,20041105,15.04000,0.011432
75033,20041108,15.03000,-0.000665
75033,20041109,14.94000,-0.005988
75033,20041110,14.60000,-0.022758
75033,20041111,14.65000,0.003425
75033,20041112,14.64000,-0.000683
75033,20041115,14.65000,0.000683
75033,20041116,14.43000,-0.015017
75033,20041117,14.62000,0.013167
75033,20041118,14.56000,-0.004104
75033,20041119,14.45000,-0.007555
75033,20041122,14.35000,-0.006920
75033,20041123,14.36000,0.000697
75033,20041124,14.28000,-0.005571
75033,20041126,14.20000,-0.005602
75033,20041129,15.21000,0.071127
75033,20041130,14.95000,-0.017094
75033,20041201,15.23000,0.018729
75033,20041202,15.24000,0.000657
75033,20041203,15.27000,0.001969
75033,20041206,14.60000,-0.043877
75033,20041207,14.28000,-0.021918
75033,20041208,14.57000,0.020308
75033,20041209,14.59000,0.001373
75033,20041210,14.58000,-0.000685
75033,20041213,14.70000,0.008230
75033,20041214,14.55000,-0.010204
75033,20041215,14.72000,0.011684
75033,20041216,15.00000,0.019022
75033,20041217,15.04000,0.002667
75033,20041220,14.85000,-0.012633
75033,20041221,14.99000,0.009428
75033,20041222,15.12000,0.008672
75033,20041223,15.20000,0.005291
75033,20041227,15.21000,0.000658
75033,20041228,15.48000,0.017751
75033,20041229,15.64000,0.010336
75033,20041230,15.60000,-0.002558
75033,20041231,15.78000,0.011538
75033,20050103,15.57000,-0.013308
75033,20050104,15.66000,0.005780
75033,20050105,15.33000,-0.021073
75033,20050106,15.65000,0.020874
75033,20050107,15.59500,-0.003514
75033,20050110,15.86500,0.017313
75033,20050111,16.10000,0.014813
75033,20050112,15.93000,-0.010559
75033,20050113,16.00000,0.004394
75033,20050114,16.57000,0.035625
75033,20050118,16.85000,0.016898
75033,20050119,16.50000,-0.020772
75033,20050120,15.93000,-0.034545
75033,20050121,15.70000,-0.014438
75033,20050124,15.59000,-0.007006
75033,20050125,15.37000,-0.014112
75033,20050126,15.98000,0.039688
75033,20050127,16.26000,0.017522
75033,20050128,15.96000,-0.018450
75033,20050131,16.40000,0.027569
75033,20050201,16.30000,-0.006098
75033,20050202,16.49000,0.011656
75033,20050203,16.28000,-0.012735
75033,20050204,16.38000,0.006142
75033,20050207,16.50000,0.007326
75033,20050208,16.23000,-0.016364
75033,20050209,15.72000,-0.031423
75033,20050210,15.87000,0.009542
75033,20050211,16.13000,0.016383
75033,20050214,15.12000,-0.062616
75033,20050215,14.98000,-0.009259
75033,20050216,15.51000,0.035381
75033,20050217,15.05000,-0.029658
75033,20050218,15.06000,0.000664
75033,20050222,14.77000,-0.019256
75033,20050223,14.85000,0.005416
75033,20050224,15.07000,0.014815
75033,20050225,15.24000,0.011281
75033,20050228,14.91000,-0.021654
75033,20050301,15.03000,0.008048
75033,20050302,14.95000,-0.005323
75033,20050303,15.15000,0.013378
75033,20050304,15.30000,0.009901
75033,20050307,15.10000,-0.013072
75033,20050308,14.50000,-0.039735
75033,20050309,14.22000,-0.019310
75033,20050310,14.01000,-0.014768
75033,20050311,13.94000,-0.004996
75033,20050314,14.35000,0.029412
75033,20050315,14.21000,-0.009756
75033,20050316,13.93000,-0.019704
75033,20050317,14.00000,0.005025
75033,20050318,13.25000,-0.053571
75033,20050321,13.20000,-0.003774
75033,20050322,12.85000,-0.026515
75033,20050323,12.77000,-0.006226
75033,20050324,13.10000,0.025842
75033,20050328,12.98000,-0.009160
75033,20050329,12.54000,-0.033898
75033,20050330,12.99000,0.035885
75033,20050331,12.74000,-0.019246
75033,20050401,12.56000,-0.014129
75033,20050404,12.80000,0.019108
75033,20050405,13.71000,0.071094
75033,20050406,13.65000,-0.004376
75033,20050407,13.70000,0.003663
75033,20050408,13.54000,-0.011679
75033,20050411,13.32000,-0.016248
75033,20050412,13.75000,0.032282
75033,20050413,13.51000,-0.017455
75033,20050414,12.99000,-0.038490
75033,20050415,12.56000,-0.033102
75033,20050418,13.52000,0.076433
75033,20050419,14.84000,0.097633
75033,20050420,13.62000,-0.082210
75033,20050421,14.04000,0.030837
75033,20050422,13.09000,-0.067664
75033,20050425,13.24000,0.011459
75033,20050426,13.08000,-0.012085
75033,20050427,13.43000,0.026758
75033,20050428,12.78000,-0.048399
75033,20050429,13.66000,0.068858
75033,20050502,14.00000,0.024890
75033,20050503,14.14000,0.010000
75033,20050504,14.28000,0.009901
